model_name,model_type,checkpoint,device,mode,episode_id,start_index,step,inference_time_s,inference_time_ms,control_interval_s,time_fraction_of_control_interval
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,31,0.0010372740216553211,1.0372740216553211,900.0,1.1525266907281345e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,32,0.0010451842099428177,1.0451842099428177,900.0,1.161315788825353e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,33,0.0010996987111866474,1.0996987111866474,900.0,1.2218874568740526e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,34,0.000986041035503149,0.986041035503149,900.0,1.0956011505590545e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,35,0.0009014359675347805,0.9014359675347805,900.0,1.0015955194830894e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,36,0.0011913739144802094,1.1913739144802094,900.0,1.3237487938668993e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,37,0.0010252571664750576,1.0252571664750576,900.0,1.1391746294167307e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,38,0.0008944859728217125,0.8944859728217125,900.0,9.938733031352362e-07
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,39,0.001104376744478941,1.104376744478941,900.0,1.2270852716432676e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,40,0.0008939062245190144,0.8939062245190144,900.0,9.932291383544603e-07
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,41,0.000958386342972517,0.958386342972517,900.0,1.0648737144139078e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,42,0.0011264188215136528,1.1264188215136528,900.0,1.251576468348503e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,43,0.000998765230178833,0.998765230178833,900.0,1.1097391446431477e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,44,0.001085661817342043,1.085661817342043,900.0,1.2062909081578254e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,45,0.001212292816489935,1.212292816489935,900.0,1.34699201832215e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,46,0.0010166452266275883,1.0166452266275883,900.0,1.129605807363987e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,47,0.0010101571679115295,1.0101571679115295,900.0,1.1223968532350328e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,48,0.0010133679024875164,1.0133679024875164,900.0,1.1259643360972403e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,49,0.0009981859475374222,0.9981859475374222,900.0,1.1090954972638025e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,50,0.001125328242778778,1.125328242778778,900.0,1.2503647141986424e-06
mlp_run_2,mlp_no_gnn,results/models/IEEE33/mlp/run_2.pt,cpu,test,0,32064,51,0.0011459770612418652,1.1459770612418652,900.0,1.2733078458242947e-06
