model,load_factor,seed,episode_id,total_energy_cost,feasible_rate,infeasible_requested_count,converged_rate
gat,1.0,0,0,364.93765140280624,1.0,0,1.0
gat,1.0,0,1,297.9337582768643,1.0,0,1.0
gat,1.0,0,2,514.5611538005911,1.0,0,1.0
gat,1.0,0,3,584.1371084827473,0.9791666666666666,3,1.0
gat,1.0,0,4,776.6771094851526,1.0,0,1.0
gat,1.0,0,5,1372.4780928167731,1.0,20,1.0
gat,1.0,0,6,1221.1176544593811,1.0,14,1.0
gat,1.0,0,7,686.8377118106491,1.0,0,1.0
gat,1.0,0,8,436.4756955450681,1.0,0,1.0
gat,1.0,0,9,674.8224594772167,0.9270833333333334,9,1.0
gat,1.0,0,10,797.2883179354118,0.9270833333333334,12,1.0
gat,1.0,0,11,874.5593985350398,1.0,6,1.0
gat,1.0,0,12,574.3669290011279,1.0,3,1.0
gat,1.0,0,13,787.4709204199032,0.9791666666666666,3,1.0
gat,1.0,0,14,378.7134110180768,1.0,0,1.0
gat,1.0,0,15,341.23163642771146,1.0,0,1.0
gat,1.0,0,16,567.8352452215915,0.9895833333333334,4,1.0
gat,1.0,0,17,711.892056944245,0.9583333333333334,6,1.0
gat,1.0,0,18,883.0313709023349,1.0,0,1.0
gat,1.0,0,19,459.0715111815348,0.9895833333333334,3,1.0
gat,1.0,0,20,427.7074906062304,0.96875,4,1.0
gat,1.0,0,21,300.972678237161,1.0,0,1.0
gat,1.0,0,22,240.20379441883844,1.0,0,1.0
gat,1.0,0,23,608.6458662481737,0.96875,6,1.0
gat,1.0,0,24,692.8660769929448,1.0,3,1.0
gat,1.0,0,25,889.2995892483766,1.0,0,1.0
gat,1.0,0,26,519.3611335164533,1.0,1,1.0
gat,1.0,0,27,410.8984691040331,0.96875,5,1.0
gat,1.0,0,28,338.87187900321896,1.0,0,1.0
gat,1.0,0,29,373.0724158426027,1.0,0,1.0
gat,1.0,0,30,476.5746556793279,0.9166666666666666,12,1.0
gat,1.0,1,0,377.56142589082566,1.0,0,1.0
gat,1.0,1,1,302.2245731810277,1.0,0,1.0
gat,1.0,1,2,529.1672216119174,1.0,1,1.0
gat,1.0,1,3,620.5582711294661,0.9895833333333334,3,1.0
gat,1.0,1,4,764.0920363645721,0.9895833333333334,4,1.0
gat,1.0,1,5,1376.9810217582997,1.0,3,1.0
gat,1.0,1,6,1232.0168441480112,0.9583333333333334,8,1.0
gat,1.0,1,7,703.0492138334874,1.0,0,1.0
gat,1.0,1,8,461.6277261168258,1.0,0,1.0
gat,1.0,1,9,723.718823558191,0.9479166666666666,6,1.0
gat,1.0,1,10,829.0253193752055,0.9375,8,1.0
gat,1.0,1,11,880.5087193204649,1.0,1,1.0
gat,1.0,1,12,608.7724146926606,1.0,0,1.0
gat,1.0,1,13,780.1814253688808,0.9583333333333334,8,1.0
gat,1.0,1,14,390.79219129810673,1.0,0,1.0
gat,1.0,1,15,338.23350113024014,1.0,0,1.0
gat,1.0,1,16,559.9992467585649,0.9895833333333334,5,1.0
gat,1.0,1,17,736.2814870966212,0.9791666666666666,6,1.0
gat,1.0,1,18,892.9645054280169,1.0,1,1.0
gat,1.0,1,19,476.5543227475003,0.9895833333333334,6,1.0
gat,1.0,1,20,443.5323303847734,0.96875,6,1.0
gat,1.0,1,21,316.5319406646656,1.0,0,1.0
gat,1.0,1,22,250.3375120778878,1.0,0,1.0
gat,1.0,1,23,618.6355439608976,0.9375,9,1.0
gat,1.0,1,24,699.2653095480085,1.0,7,1.0
gat,1.0,1,25,898.9174995818162,1.0,2,1.0
gat,1.0,1,26,543.559240749606,1.0,4,1.0
gat,1.0,1,27,425.01642142726143,0.96875,5,1.0
gat,1.0,1,28,348.7089518262548,1.0,0,1.0
gat,1.0,1,29,378.4898868012988,1.0,0,1.0
gat,1.0,1,30,480.0337648939284,0.9166666666666666,9,1.0
gat,1.0,2,0,357.2375906498936,1.0,0,1.0
gat,1.0,2,1,288.45996144332923,1.0,0,1.0
gat,1.0,2,2,503.3958710022366,1.0,3,1.0
gat,1.0,2,3,579.9621371172973,0.96875,6,1.0
gat,1.0,2,4,788.7316323485563,0.9895833333333334,6,1.0
gat,1.0,2,5,1379.2203303422818,1.0,29,1.0
gat,1.0,2,6,1231.2887614085269,0.9583333333333334,26,1.0
gat,1.0,2,7,704.8586829753058,1.0,0,1.0
gat,1.0,2,8,433.20964647689664,1.0,0,1.0
gat,1.0,2,9,677.7040451640978,0.9270833333333334,8,1.0
gat,1.0,2,10,813.1812405496516,0.9270833333333334,11,1.0
gat,1.0,2,11,887.8052611761262,1.0,4,1.0
gat,1.0,2,12,570.3360150289112,1.0,2,1.0
gat,1.0,2,13,787.3725273307012,0.9479166666666666,9,1.0
gat,1.0,2,14,371.64451730860543,1.0,0,1.0
gat,1.0,2,15,335.14190982829086,1.0,0,1.0
gat,1.0,2,16,569.1461445918819,0.9895833333333334,7,1.0
gat,1.0,2,17,720.0753940553727,0.9583333333333334,8,1.0
gat,1.0,2,18,892.1696115536428,1.0,11,1.0
gat,1.0,2,19,455.0307492345887,0.9895833333333334,6,1.0
gat,1.0,2,20,424.3558516751417,0.96875,7,1.0
gat,1.0,2,21,302.7046789074149,1.0,0,1.0
gat,1.0,2,22,237.82365148848123,1.0,0,1.0
gat,1.0,2,23,618.9333618640537,0.9375,11,1.0
gat,1.0,2,24,705.0117320017749,0.9791666666666666,12,1.0
gat,1.0,2,25,899.0852430807452,1.0,13,1.0
gat,1.0,2,26,515.3576965422092,1.0,5,1.0
gat,1.0,2,27,408.95627206649874,0.96875,7,1.0
gat,1.0,2,28,353.15228074471275,1.0,0,1.0
gat,1.0,2,29,383.5502500054516,1.0,0,1.0
gat,1.0,2,30,484.1857716443441,0.9166666666666666,9,1.0
gat,1.1,0,0,412.2935392279676,1.0,0,1.0
