model,run,topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,source_folder
MLP,0,TP6,mlp_maddpg,31,-1751.8557147542676,926.6902864717616,-8759.278573771338,4633.451432358807,847.5736709628533,21.259206853847548,4.159627935528138,3.546572508270467,0.6113600382200812,0.92706036567688,1.00226628780365,2.09016489982605,0.022939642226766,0.0,28.548387096774192,0.7063172043010753,1.0,mlp_ieee33_tp6_load1p3_run0
MLP,1,TP6,mlp_maddpg,31,-1950.8806510525844,1017.1014424078022,-9754.403255262923,5085.507212039012,883.1369374376188,22.04737217290352,4.595211446046186,2.428302475933552,0.6290213308867908,0.92706036567688,1.0019904375076294,2.09016489982605,0.022939642226766,0.0,36.064516129032256,0.637768817204301,1.0,mlp_ieee33_tp6_load1p3_run1
MLP,2,TP6,mlp_maddpg,31,-1858.5499092771763,961.528003867388,-9292.74954638588,4807.640019336939,858.1802022215568,21.449697988017927,4.240429210391875,3.1257562806367627,0.6163898875275927,0.92706036567688,1.0070327520370483,2.09016489982605,0.022939642226766,0.0,33.16129032258065,0.6616263440860215,1.0,mlp_ieee33_tp6_load1p3_run2
GCN,0,TP6,maddpg,31,-1814.3463340672515,960.4135401455184,-9071.731670336258,4802.067700727591,861.999386627101,21.439784056810105,4.446506412095423,2.569199620059715,0.6142404101268258,0.92706036567688,1.0051101446151731,2.09016489982605,0.022939642226766,0.0,30.70967741935484,0.6804435483870968,1.0,gcn_ieee33_tp6_load1p3_run0
GCN,1,TP6,maddpg,31,-1727.891603362272,951.948062503411,-8639.458016811359,4759.740312517057,839.3878348018321,21.046199197279517,3.99547179493967,4.416337162698814,0.6089877682908248,0.92706036567688,1.0060455799102783,2.09016489982605,0.022939642226766,0.0,27.90322580645161,0.7271505376344086,1.0,gcn_ieee33_tp6_load1p3_run1
GCN,2,TP6,maddpg,31,-1848.4418319452675,929.7963265164318,-9242.209159726335,4648.981632582158,847.2265684203232,21.329031853608235,4.244843056607616,4.067794410592213,0.613449785557966,0.92706036567688,1.0096269845962524,2.09016489982605,0.022939642226766,0.0,33.38709677419355,0.6922043010752688,1.0,gcn_ieee33_tp6_load1p3_run2
GAT,0,TP6,maddpg,31,-1803.187088316398,935.9253966265088,-9015.93544158199,4679.626983132544,845.3780214119969,21.267064785658757,4.172642595298407,3.706577201837768,0.6114787442950151,0.92706036567688,1.002274513244629,2.09016489982605,0.022939642226766,0.0,31.258064516129032,0.6955645161290323,1.0,gat_ieee33_tp6_load1p3_run0
GAT,1,TP6,maddpg,31,-1821.989490294096,986.5850090175512,-9109.94745147048,4932.925045087756,854.9900518111607,21.42603386430701,4.373368750804336,3.764372110316819,0.6144879264656895,0.92706036567688,1.0041717290878296,2.09016489982605,0.022939642226766,0.0,31.548387096774192,0.6854838709677419,1.0,gat_ieee33_tp6_load1p3_run1
GAT,2,TP6,maddpg,31,-1822.658996385685,999.0097734071952,-9113.294981928426,4995.048867035977,844.7047300646976,21.08651605335241,4.118338575836268,3.267764641270184,0.6093602892091519,0.92706036567688,1.0059936046600342,2.09016489982605,0.022939642226766,0.0,32.29032258064516,0.6770833333333333,1.0,gat_ieee33_tp6_load1p3_run2
TAGConv,0,TP6,maddpg,31,-1755.4755561182274,921.5032552964592,-8777.377780591138,4607.516276482295,841.0931510195294,21.143326572204412,4.093859481795203,4.245824454410828,0.6101636916639344,0.92706036567688,1.0064324140548706,2.09016489982605,0.022939642226766,0.0,29.161290322580644,0.7200940860215054,1.0,tagconv_ieee33_tp6_load1p3_run0
TAGConv,1,TP6,maddpg,31,-1808.1353705002653,982.5702903678553,-9040.676852501329,4912.851451839278,855.6257412849708,21.384227828865072,4.373619734026555,3.33764202072342,0.6155941071569598,0.92706036567688,1.0022767782211304,2.09016489982605,0.022939642226766,0.0,30.806451612903224,0.6891801075268816,1.0,tagconv_ieee33_tp6_load1p3_run1
TAGConv,2,TP6,maddpg,31,-1748.338170193893,988.1709749276648,-8741.690850969464,4940.854874638325,838.9866949477249,20.95900588702077,3.9156904539853232,3.95478176850844,0.6067082700469801,0.92706036567688,1.008260726928711,2.09016489982605,0.022939642226766,0.0,28.967741935483872,0.7049731182795699,1.0,tagconv_ieee33_tp6_load1p3_run2
