model,reward,cost_usd,grid_import_mwh,curtailment_mwh,throughput_mwh,voltage_deviation_pu,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,infeasible_requested_count,feasible_rate,converged_rate
MLP,-2168.10 ± 65.58,952.06 ± 17.52,23.8110 ± 0.4084,3.9727 ± 0.2290,2.6395 ± 0.4618,0.6813 ± 0.0093,0.9210 ± 0.0000,1.0022 ± 0.0002,2.2596 ± 0.0000,42.14 ± 2.19,0.5674 ± 0.0178,1.0000 ± 0.0000
GCN,-2097.83 ± 64.45,939.80 ± 8.64,23.4649 ± 0.1509,3.8628 ± 0.2317,3.2956 ± 0.9015,0.6740 ± 0.0017,0.9210 ± 0.0000,1.0049 ± 0.0032,2.2596 ± 0.0000,39.47 ± 2.97,0.6085 ± 0.0225,1.0000 ± 0.0000
GAT,-2093.05 ± 48.93,937.03 ± 4.90,23.4219 ± 0.1885,3.8328 ± 0.1108,3.3073 ± 0.2296,0.6733 ± 0.0029,0.9210 ± 0.0000,1.0042 ± 0.0030,2.2596 ± 0.0000,39.42 ± 2.49,0.6081 ± 0.0168,1.0000 ± 0.0000
TAGConv,-2061.57 ± 29.61,935.07 ± 9.73,23.3500 ± 0.2473,3.7534 ± 0.2251,3.5396 ± 0.3163,0.6727 ± 0.0050,0.9210 ± 0.0000,1.0051 ± 0.0028,2.2596 ± 0.0000,37.98 ± 1.23,0.6160 ± 0.0079,1.0000 ± 0.0000
