model,run,topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,source_folder
MLP,0,TP6,mlp_maddpg,31,-2094.9242720176017,1061.6120751410158,-10474.621360088007,5308.060375705079,935.5753885240124,23.42989452727863,3.7779763875407855,3.07331636524294,0.6725013443138651,0.9210110902786256,1.002290964126587,2.259578227996826,0.0289889354260547,0.0,39.61290322580645,0.5880376344086022,1.0,mlp_ieee33_tp6_load1p4_run0
MLP,1,TP6,mlp_maddpg,31,-2221.579100103941,1055.5785522148549,-11107.895500519704,5277.892761074273,970.4653471736942,24.24199681457149,4.225040418785716,2.1540525713060963,0.6910499416251658,0.9210110902786256,1.001960515975952,2.259578227996826,0.0289889354260547,0.0,43.54838709677419,0.5571236559139785,1.0,mlp_ieee33_tp6_load1p4_run1
MLP,2,TP6,mlp_maddpg,31,-2187.78983559582,1079.208446708962,-10938.9491779791,5396.042233544811,950.134762846028,23.760962673583524,3.915109368568954,2.6910043453047487,0.6802966680618063,0.9210110902786256,1.0023024082183838,2.259578227996826,0.0289889354260547,0.0,43.25806451612903,0.5571236559139785,1.0,mlp_ieee33_tp6_load1p4_run2
GCN,0,TP6,maddpg,31,-2111.153047996471,1045.8591095030226,-10555.765239982356,5229.295547515114,949.188479726836,23.577511202542816,4.092598945832368,2.277698691957013,0.6748315780673937,0.9210110902786256,1.004313588142395,2.259578227996826,0.0289889354260547,0.0,39.516129032258064,0.5897177419354839,1.0,gcn_ieee33_tp6_load1p4_run0
GCN,1,TP6,maddpg,31,-2027.7518528254525,1071.3285349641385,-10138.75926412726,5356.642674820691,932.1782323618396,23.293437293366576,3.629329259787954,3.993193948336621,0.6721191055752257,0.9210110902786256,1.002077579498291,2.259578227996826,0.0289889354260547,0.0,36.483870967741936,0.6334005376344086,1.0,gcn_ieee33_tp6_load1p4_run1
GCN,2,TP6,maddpg,31,-2154.5750700646117,1002.7334853977604,-10772.875350323056,5013.667426988802,938.04411056767,23.523884186177245,3.866337412040052,3.615799752267916,0.6751080875194841,0.9210110902786256,1.0083271265029907,2.259578227996826,0.0289889354260547,0.0,42.41935483870968,0.6024865591397849,1.0,gcn_ieee33_tp6_load1p4_run2
GAT,0,TP6,maddpg,31,-2149.370269552306,1016.6483836365944,-10746.851347761529,5083.241918182972,937.02741593842,23.51747683656636,3.8148646521982266,3.29553243767823,0.6750198079934043,0.9210110902786256,1.0021593570709229,2.259578227996826,0.0289889354260547,0.0,42.2258064516129,0.5890456989247312,1.0,gat_ieee33_tp6_load1p4_run0
GAT,1,TP6,maddpg,31,-2060.9818036009706,1043.1836248570653,-10304.909018004852,5215.918124285327,941.933142393995,23.54345876897926,3.951437499404018,3.54259749580387,0.6748851830119728,0.9210110902786256,1.0028570890426636,2.259578227996826,0.0289889354260547,0.0,37.483870967741936,0.6209677419354839,1.0,gat_ieee33_tp6_load1p4_run1
GAT,2,TP6,maddpg,31,-2068.7947383465544,1045.0376050361112,-10343.973691732774,5225.188025180557,932.143073336448,23.204704376071152,3.732129055290983,3.083857267525289,0.6699141843584917,0.9210110902786256,1.0076947212219238,2.259578227996826,0.0289889354260547,0.0,38.54838709677419,0.614247311827957,1.0,gat_ieee33_tp6_load1p4_run2
TAGConv,0,TP6,maddpg,31,-2083.682905289795,1053.3481621699607,-10418.414526448976,5266.740810849802,931.9346794902892,23.35495939522465,3.7314618422351873,3.7311861921185767,0.6725819985512443,0.9210110902786256,1.0056371688842771,2.259578227996826,0.0289889354260547,0.0,39.29032258064516,0.6102150537634409,1.0,tagconv_ieee33_tp6_load1p4_run0
TAGConv,1,TP6,maddpg,31,-2073.10831793836,1083.671741978966,-10365.5415896918,5418.35870989483,945.9880397206124,23.59472977586678,3.9886004804441626,3.174522703077232,0.6776881797779952,0.9210110902786256,1.0020852088928225,2.259578227996826,0.0289889354260547,0.0,37.80645161290322,0.6129032258064516,1.0,tagconv_ieee33_tp6_load1p4_run1
TAGConv,2,TP6,maddpg,31,-2027.9302412570244,1064.7984526427135,-10139.651206285122,5323.992263213567,927.3015586623518,23.10024753067225,3.5400151538382456,3.713144203717359,0.6677424044458456,0.9210110902786256,1.0075254440307615,2.259578227996826,0.0289889354260547,0.0,36.83870967741935,0.625,1.0,tagconv_ieee33_tp6_load1p4_run2
