model,n_runs,episodes_per_run,mean_total_reward_mean_across_runs_mean,mean_total_reward_mean_across_runs_std,mean_total_reward_team_across_runs_mean,mean_total_reward_team_across_runs_std,mean_energy_cost_across_runs_mean,mean_energy_cost_across_runs_std,mean_grid_import_mwh_across_runs_mean,mean_grid_import_mwh_across_runs_std,mean_curtailment_mwh_across_runs_mean,mean_curtailment_mwh_across_runs_std,mean_throughput_mwh_across_runs_mean,mean_throughput_mwh_across_runs_std,mean_voltage_deviation_across_runs_mean,mean_voltage_deviation_across_runs_std,worst_min_voltage_pu_across_runs_mean,worst_min_voltage_pu_across_runs_std,worst_max_voltage_pu_across_runs_mean,worst_max_voltage_pu_across_runs_std,worst_line_current_pu_across_runs_mean,worst_line_current_pu_across_runs_std,worst_voltage_violation_across_runs_mean,worst_voltage_violation_across_runs_std,worst_line_current_violation_across_runs_mean,worst_line_current_violation_across_runs_std,mean_infeasible_requested_count_across_runs_mean,mean_infeasible_requested_count_across_runs_std,mean_feasible_rate_across_runs_mean,mean_feasible_rate_across_runs_std,mean_converged_rate_across_runs_mean,mean_converged_rate_across_runs_std
MLP,3,31,-2168.0977359057874,65.58349992221122,-10840.488679528937,327.91749961105614,952.0584995145782,17.524350935814155,23.81095133847788,0.4083523983277356,3.972708724965152,0.22903018665927918,2.6394577606179284,0.46179461723307974,0.6812826513336123,0.009313524457121938,0.9210110902786256,0.0,1.0021846294403076,0.00019417228300756795,2.259578227996826,0.0,0.0289889354260547,0.0,0.0,0.0,42.13978494623655,2.1931530320502004,0.5674283154121864,0.01784819380559332,1.0,0.0
GCN,3,31,-2097.8266569621787,64.45329030563062,-10489.133284810892,322.2664515281534,939.8036075521153,8.640544027044575,23.46494422736221,0.15093023397419714,3.8627552058867916,0.23165561649270613,3.2955641308538497,0.9014677662468437,0.6740195903873678,0.0016516646936230955,0.9210110902786256,0.0,1.0049060980478923,0.0031666244539054556,2.259578227996826,0.0,0.0289889354260547,0.0,0.0,0.0,39.473118279569896,2.9679756803694772,0.6085349462365591,0.022460719041758625,1.0,0.0
GAT,3,31,-2093.0489371666104,48.93188989411409,-10465.244685833051,244.6594494705694,937.0345438896211,4.8950384210597635,23.421879993872256,0.1885277219096593,3.8328104022977425,0.1107501055295017,3.3073290670024633,0.22959751655414565,0.6732730584546229,0.0029096490109036146,0.9210110902786256,0.0,1.0042370557785034,0.003014679952344037,2.259578227996826,0.0,0.0289889354260547,0.0,0.0,0.0,39.41935483870967,2.488056799777243,0.608086917562724,0.01682905376491565,1.0,0.0
TAGConv,3,31,-2061.5738214950597,29.61204725847456,-10307.869107475299,148.0602362923732,935.0747592910844,9.730941344582483,23.349978900587896,0.24727874291632224,3.753359158839199,0.22509291007798654,3.539617699637722,0.31631020489623146,0.6726708609250284,0.004973483098443651,0.9210110902786256,0.0,1.005082607269287,0.0027621899876061886,2.259578227996826,0.0,0.0289889354260547,0.0,0.0,0.0,37.97849462365591,1.2348281479531704,0.6160394265232975,0.00787562537242246,1.0,0.0
