Topology,Avg Reward,Energy Cost,Grid Import,Curtailment,Voltage Dev.,Throughput,Worst Min Voltage,Worst Max Voltage,Worst Line Current,Feasible Rate,Converged Rate
TP1,-833.56 +/- 10.08,599.20 +/- 7.08,15.16 +/- 0.22,5.47 +/- 0.25,0.3984 +/- 0.0035,4.70 +/- 0.62,0.9505 +/- 0.0009,1.0035 +/- 0.0007,1.7023 +/- 0.0812,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP2,-815.37 +/- 9.98,595.90 +/- 7.29,15.08 +/- 0.22,5.47 +/- 0.25,0.2974 +/- 0.0028,4.70 +/- 0.61,0.9597 +/- 0.0016,1.0047 +/- 0.0001,1.7178 +/- 0.1164,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP3,-832.33 +/- 9.78,601.32 +/- 7.16,15.22 +/- 0.19,5.53 +/- 0.22,0.3765 +/- 0.0028,4.68 +/- 0.58,0.9553 +/- 0.0034,1.0045 +/- 0.0011,1.7304 +/- 0.1239,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP4,-811.22 +/- 9.86,597.07 +/- 7.27,15.12 +/- 0.20,5.53 +/- 0.24,0.2516 +/- 0.0021,4.70 +/- 0.56,0.9695 +/- 0.0006,1.0044 +/- 0.0004,1.7123 +/- 0.1200,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP5,-857.11 +/- 33.85,599.09 +/- 8.31,15.14 +/- 0.23,5.46 +/- 0.24,0.3815 +/- 0.0033,4.54 +/- 0.54,0.9488 +/- 0.0003,1.0133 +/- 0.0030,1.6076 +/- 0.0136,0.9978 +/- 0.0008,1.0000 +/- 0.0000
TP6,-900.56 +/- 41.95,597.65 +/- 7.45,15.10 +/- 0.19,5.41 +/- 0.22,0.4365 +/- 0.0032,4.45 +/- 0.61,0.9448 +/- 0.0000,1.0095 +/- 0.0040,1.5900 +/- 0.0000,0.9875 +/- 0.0056,1.0000 +/- 0.0000
TP7,-823.22 +/- 10.00,598.55 +/- 7.29,15.14 +/- 0.23,5.49 +/- 0.25,0.3326 +/- 0.0030,4.66 +/- 0.56,0.9545 +/- 0.0021,1.0046 +/- 0.0003,1.7219 +/- 0.1192,1.0000 +/- 0.0000,1.0000 +/- 0.0000
