Topology,Avg Reward,Energy Cost,Grid Import,Curtailment,Voltage Dev.,Throughput,Worst Min Voltage,Worst Max Voltage,Worst Line Current,Feasible Rate,Converged Rate
TP1,-834.37 +/- 17.45,600.86 +/- 13.10,15.16 +/- 0.20,5.44 +/- 0.23,0.3982 +/- 0.0023,4.68 +/- 1.40,0.9509 +/- 0.0004,1.0046 +/- 0.0006,1.6585 +/- 0.0426,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP2,-817.25 +/- 17.45,597.37 +/- 13.15,15.07 +/- 0.20,5.44 +/- 0.23,0.2974 +/- 0.0018,4.68 +/- 1.38,0.9606 +/- 0.0012,1.0064 +/- 0.0012,1.6457 +/- 0.0437,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP3,-833.21 +/- 15.33,602.10 +/- 11.58,15.21 +/- 0.13,5.49 +/- 0.18,0.3758 +/- 0.0013,4.65 +/- 1.37,0.9585 +/- 0.0006,1.0037 +/- 0.0006,1.6594 +/- 0.0375,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP4,-810.02 +/- 17.98,596.26 +/- 13.57,15.04 +/- 0.21,5.44 +/- 0.24,0.2510 +/- 0.0016,4.64 +/- 1.34,0.9711 +/- 0.0006,1.0059 +/- 0.0009,1.6404 +/- 0.0413,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP5,-841.45 +/- 14.86,601.11 +/- 10.37,15.18 +/- 0.14,5.49 +/- 0.17,0.3832 +/- 0.0033,4.59 +/- 1.35,0.9490 +/- 0.0007,1.0113 +/- 0.0027,1.5917 +/- 0.0097,0.9982 +/- 0.0013,1.0000 +/- 0.0000
TP6,-894.07 +/- 36.46,602.67 +/- 11.74,15.23 +/- 0.19,5.49 +/- 0.21,0.4388 +/- 0.0033,4.55 +/- 1.24,0.9448 +/- 0.0000,1.0097 +/- 0.0017,1.5900 +/- 0.0000,0.9875 +/- 0.0081,1.0000 +/- 0.0000
TP7,-824.07 +/- 15.80,599.28 +/- 11.91,15.12 +/- 0.15,5.44 +/- 0.19,0.3321 +/- 0.0016,4.66 +/- 1.45,0.9555 +/- 0.0014,1.0065 +/- 0.0007,1.6604 +/- 0.0321,1.0000 +/- 0.0000,1.0000 +/- 0.0000
