Topology,Avg Reward,Energy Cost,Grid Import,Curtailment,Voltage Dev.,Throughput,Worst Min Voltage,Worst Max Voltage,Worst Line Current,Feasible Rate,Converged Rate,,Model
TP1,-841.40 +/- 8.19,604.01 +/- 5.88,15.25 +/- 0.14,5.51 +/- 0.12,0.3990 +/- 0.0018,4.50 +/- 0.30,0.9501 +/- 0.0002,1.0043 +/- 0.0008,1.6902 +/- 0.0383,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP2,-821.06 +/- 7.71,600.28 +/- 5.75,15.15 +/- 0.14,5.50 +/- 0.13,0.2974 +/- 0.0014,4.54 +/- 0.24,0.9597 +/- 0.0024,1.0045 +/- 0.0008,1.6951 +/- 0.0104,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP3,-834.17 +/- 8.16,602.85 +/- 6.02,15.22 +/- 0.16,5.50 +/- 0.14,0.3756 +/- 0.0021,4.47 +/- 0.37,0.9571 +/- 0.0012,1.0034 +/- 0.0008,1.7022 +/- 0.0124,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP4,-813.21 +/- 7.54,598.72 +/- 5.65,15.11 +/- 0.14,5.49 +/- 0.13,0.2508 +/- 0.0011,4.54 +/- 0.29,0.9696 +/- 0.0018,1.0039 +/- 0.0010,1.6871 +/- 0.0117,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP5,-860.66 +/- 13.32,605.29 +/- 6.26,15.29 +/- 0.15,5.58 +/- 0.13,0.3829 +/- 0.0018,4.40 +/- 0.38,0.9486 +/- 0.0000,1.0087 +/- 0.0025,1.6224 +/- 0.0348,0.9975 +/- 0.0004,1.0000 +/- 0.0000,,GAT
TP6,-934.12 +/- 31.79,604.84 +/- 6.80,15.28 +/- 0.15,5.54 +/- 0.15,0.4386 +/- 0.0025,4.31 +/- 0.37,0.9448 +/- 0.0000,1.0079 +/- 0.0029,1.5900 +/- 0.0000,0.9842 +/- 0.0024,1.0000 +/- 0.0000,,GAT
TP7,-828.78 +/- 7.48,602.84 +/- 5.58,15.21 +/- 0.15,5.52 +/- 0.12,0.3324 +/- 0.0013,4.46 +/- 0.30,0.9534 +/- 0.0022,1.0050 +/- 0.0010,1.6994 +/- 0.0119,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GAT
TP1,-834.37 +/- 17.45,600.86 +/- 13.10,15.16 +/- 0.20,5.44 +/- 0.23,0.3982 +/- 0.0023,4.68 +/- 1.40,0.9509 +/- 0.0004,1.0046 +/- 0.0006,1.6585 +/- 0.0426,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP2,-817.25 +/- 17.45,597.37 +/- 13.15,15.07 +/- 0.20,5.44 +/- 0.23,0.2974 +/- 0.0018,4.68 +/- 1.38,0.9606 +/- 0.0012,1.0064 +/- 0.0012,1.6457 +/- 0.0437,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
TP3,-833.21 +/- 15.33,602.10 +/- 11.58,15.21 +/- 0.13,5.49 +/- 0.18,0.3758 +/- 0.0013,4.65 +/- 1.37,0.9585 +/- 0.0006,1.0037 +/- 0.0006,1.6594 +/- 0.0375,1.0000 +/- 0.0000,1.0000 +/- 0.0000,,GCN
