topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,model,seed_run,source_folder
TP1,maddpg,31,-833.2538840328449,353.1717633220147,-4166.269420164224,1765.8588166100735,599.9744934424155,15.281514127887354,5.461480274870649,4.735272302023364,0.398444385758491,0.9503290057182312,1.0033552646636963,1.7195003032684326,0.0,0.0,0.0,1.0,1.0,gat,run_0,gat_ieee33_tp_full_eval_run0_best
TP2,maddpg,31,-815.9882671471474,347.7720192790023,-4079.9413357357375,1738.860096395012,596.4454795713907,15.192159870776054,5.453393241287325,4.750040239324089,0.2969129373549773,0.9611236453056335,1.0037572383880615,1.7067466974258425,0.0,0.0,0.0,1.0,1.0,gat,run_0,gat_ieee33_tp_full_eval_run0_best
TP3,maddpg,31,-829.5591733363843,351.93240308352114,-4147.795866681922,1759.662015417606,599.3455420060176,15.265901842714335,5.460191684864042,4.741761726308267,0.3753838646275702,0.9574189186096193,1.002938747406006,1.716488003730774,0.0,0.0,0.0,1.0,1.0,gat,run_0,gat_ieee33_tp_full_eval_run0_best
TP4,maddpg,31,-808.0529570609459,345.11958870190773,-4040.264785304729,1725.5979435095385,594.7971912713509,15.151661210619343,5.452291454440123,4.762997146015779,0.2505009675859123,0.9705972671508788,1.003757357597351,1.6997007131576538,0.0,0.0,0.0,1.0,1.0,gat,run_0,gat_ieee33_tp_full_eval_run0_best
TP5,maddpg,31,-846.9825830619061,361.7093039245885,-4234.912915309531,1808.5465196229432,600.5854562843305,15.2878166258963,5.530772772238557,4.590081102097218,0.3827352669610772,0.9486038684844972,1.0060756206512451,1.6531442403793335,0.0013961364831854,0.0,0.7419354838709677,0.9973118279569892,1.0,gat,run_0,gat_ieee33_tp_full_eval_run0_best
TP6,maddpg,31,-911.0953880178772,428.4513342181737,-4555.4769400893865,2142.2566710908686,599.4810723239221,15.260707999721625,5.474427837490636,4.517115226162239,0.4378237709082583,0.9447911977767944,1.004841923713684,1.5900484323501587,0.0052088175934883,0.0,3.6774193548387095,0.98622311827957,1.0,gat,run_0,gat_ieee33_tp_full_eval_run0_best
TP7,maddpg,31,-824.5886308719502,350.08074180517366,-4122.943154359751,1750.4037090258682,599.6587247913848,15.269359213236145,5.493741876353878,4.724611361565826,0.3321360045222826,0.9559054970741272,1.0039000511169434,1.7122167348861694,0.0,0.0,0.0,1.0,1.0,gat,run_0,gat_ieee33_tp_full_eval_run0_best
TP1,maddpg,31,-849.6407390360313,353.29208298832435,-4248.2036951801565,1766.4604149416216,610.7517228237591,15.36080652662412,5.649647094688548,4.600256973837841,0.4010168459987448,0.9500341415405272,1.004893779754639,1.7041994333267212,0.0,0.0,0.0967741935483871,1.0,1.0,gat,run_1,gat_ieee33_tp_full_eval_run1_best
TP2,maddpg,31,-829.9375247469251,348.7960771467499,-4149.687623734625,1743.9803857337497,606.8857306146201,15.261932551556349,5.639712829105093,4.60412416796994,0.2989587047367646,0.961093544960022,1.0044554471969604,1.6917674541473389,0.0,0.0,0.0,1.0,1.0,gat,run_1,gat_ieee33_tp_full_eval_run1_best
TP3,maddpg,31,-843.5873037730524,352.98364417792334,-4217.936518865262,1764.9182208896164,609.8047395803577,15.34687883491902,5.651918165583739,4.626231233479651,0.3778717009731198,0.9582086205482484,1.0043041706085205,1.6939430236816406,0.0,0.0,0.0,1.0,1.0,gat,run_1,gat_ieee33_tp_full_eval_run1_best
