Topology,Avg Reward,Energy Cost,Grid Import,Curtailment,Voltage Dev.,Throughput,Worst Min Voltage,Worst Max Voltage,Worst Line Current,Feasible Rate,Converged Rate
TP1,-2150.04 +/- 6.88,1582.69 +/- 5.51,40.07 +/- 0.10,0.03 +/- 0.03,0.7394 +/- 0.0048,6.36 +/- 1.08,0.9509 +/- 0.0012,1.0141 +/- 0.0050,3.0777 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP2,-2151.73 +/- 5.74,1583.54 +/- 4.64,40.09 +/- 0.12,0.03 +/- 0.03,0.7442 +/- 0.0049,6.37 +/- 1.08,0.9512 +/- 0.0013,1.0142 +/- 0.0050,3.0779 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP3,-2150.02 +/- 6.88,1582.68 +/- 5.51,40.07 +/- 0.10,0.03 +/- 0.03,0.7393 +/- 0.0048,6.36 +/- 1.08,0.9509 +/- 0.0012,1.0141 +/- 0.0050,3.0777 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP4,-2151.71 +/- 5.74,1583.54 +/- 4.64,40.09 +/- 0.12,0.03 +/- 0.03,0.7440 +/- 0.0049,6.37 +/- 1.08,0.9512 +/- 0.0013,1.0142 +/- 0.0050,3.0779 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP5,-2147.99 +/- 6.90,1582.03 +/- 5.53,40.06 +/- 0.10,0.03 +/- 0.03,0.7298 +/- 0.0048,6.36 +/- 1.08,0.9509 +/- 0.0012,1.0141 +/- 0.0050,3.0766 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP6,-2143.72 +/- 8.18,1581.36 +/- 6.25,40.04 +/- 0.09,0.03 +/- 0.03,0.7043 +/- 0.0039,6.35 +/- 1.07,0.9542 +/- 0.0022,1.0123 +/- 0.0044,3.0755 +/- 0.0294,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP7,-2149.48 +/- 6.87,1582.60 +/- 5.51,40.07 +/- 0.10,0.03 +/- 0.03,0.7359 +/- 0.0047,6.36 +/- 1.08,0.9510 +/- 0.0011,1.0140 +/- 0.0050,3.0776 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP8,-2147.96 +/- 6.71,1581.90 +/- 5.57,40.05 +/- 0.10,0.03 +/- 0.03,0.7275 +/- 0.0049,6.37 +/- 1.08,0.9507 +/- 0.0009,1.0149 +/- 0.0055,3.0764 +/- 0.0293,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP9,-2149.67 +/- 5.93,1582.77 +/- 4.71,40.07 +/- 0.12,0.03 +/- 0.03,0.7323 +/- 0.0050,6.38 +/- 1.08,0.9508 +/- 0.0011,1.0151 +/- 0.0055,3.0766 +/- 0.0292,1.0000 +/- 0.0000,1.0000 +/- 0.0000
