Topology,Avg Reward,Energy Cost,Grid Import,Curtailment,Voltage Dev.,Throughput,Worst Min Voltage,Worst Max Voltage,Worst Line Current,Feasible Rate,Converged Rate
TP1,-2147.08 +/- 15.40,1580.69 +/- 11.75,40.06 +/- 0.12,0.01 +/- 0.01,0.7384 +/- 0.0037,6.98 +/- 1.62,0.9515 +/- 0.0020,1.0106 +/- 0.0020,3.1557 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP2,-2148.30 +/- 13.43,1581.16 +/- 10.37,40.09 +/- 0.11,0.00 +/- 0.00,0.7432 +/- 0.0043,7.06 +/- 1.71,0.9508 +/- 0.0010,1.0109 +/- 0.0021,3.1559 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP3,-2147.06 +/- 15.40,1580.69 +/- 11.75,40.06 +/- 0.12,0.01 +/- 0.01,0.7383 +/- 0.0037,6.98 +/- 1.62,0.9515 +/- 0.0020,1.0106 +/- 0.0020,3.1557 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP4,-2148.28 +/- 13.43,1581.16 +/- 10.37,40.09 +/- 0.11,0.00 +/- 0.00,0.7431 +/- 0.0043,7.06 +/- 1.71,0.9508 +/- 0.0010,1.0109 +/- 0.0021,3.1559 +/- 0.0887,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP5,-2145.05 +/- 15.38,1580.05 +/- 11.74,40.05 +/- 0.12,0.01 +/- 0.01,0.7288 +/- 0.0037,6.98 +/- 1.62,0.9515 +/- 0.0020,1.0106 +/- 0.0020,3.1547 +/- 0.0884,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP6,-2140.65 +/- 15.69,1579.12 +/- 11.93,40.03 +/- 0.13,0.00 +/- 0.00,0.7033 +/- 0.0038,6.97 +/- 1.48,0.9547 +/- 0.0036,1.0082 +/- 0.0011,3.1567 +/- 0.0845,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP7,-2146.44 +/- 15.74,1580.53 +/- 12.03,40.06 +/- 0.12,0.00 +/- 0.01,0.7350 +/- 0.0036,7.00 +/- 1.63,0.9515 +/- 0.0021,1.0106 +/- 0.0017,3.1556 +/- 0.0886,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP8,-2144.75 +/- 14.98,1580.09 +/- 11.39,40.04 +/- 0.12,0.01 +/- 0.01,0.7260 +/- 0.0036,6.89 +/- 1.63,0.9511 +/- 0.0016,1.0100 +/- 0.0023,3.1417 +/- 0.0533,1.0000 +/- 0.0000,1.0000 +/- 0.0000
TP9,-2146.27 +/- 12.47,1580.61 +/- 9.89,40.06 +/- 0.11,0.00 +/- 0.00,0.7311 +/- 0.0042,7.01 +/- 1.78,0.9505 +/- 0.0006,1.0107 +/- 0.0020,3.1435 +/- 0.0517,1.0000 +/- 0.0000,1.0000 +/- 0.0000
