topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,model,seed_run,source_folder
TP1,maddpg,31,-2142.5914908844884,684.1316434090689,-19283.3234179604,6157.184790681617,1576.527092936906,40.14338729607833,9.59225448309704e-05,7.386487068947117,0.7403109120505471,0.9500569701194764,1.008480429649353,3.084930181503296,0.0,0.0,0.032258064516129,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP2,maddpg,31,-2145.90732910209,684.5117715610967,-19313.16596191881,6160.605944049868,1578.535626427028,40.19709455832479,0.0001722820261587,7.415900706942005,0.7459483436078473,0.9507455825805664,1.0086168050765991,3.0852224826812744,0.0,0.0,0.032258064516129,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP3,maddpg,31,-2142.5723433396565,684.1306561061075,-19283.151090056905,6157.1759049549655,1576.5250660898157,40.1433327828218,9.599723202472336e-05,7.386469536421226,0.7401786092668772,0.9500569701194764,1.008480429649353,3.084924697875977,0.0,0.0,0.032258064516129,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP4,maddpg,31,-2145.8882380639566,684.5106408595186,-19312.99414257561,6160.595767735666,1578.5336338867176,40.19704205200228,0.0001722820261587,7.415947278904532,0.7458161355386819,0.9507456421852112,1.0086168050765991,3.085216999053955,0.0,0.0,0.032258064516129,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP5,maddpg,31,-2140.5199096228216,683.7159249630143,-19264.6791866054,6153.443324667132,1575.8580110125115,40.12646289638032,9.470063326853464e-05,7.384979333873313,0.7306821495494856,0.9500640034675598,1.008482575416565,3.08377742767334,0.0,0.0,0.032258064516129,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP6,maddpg,31,-2134.668169294394,682.6179684626637,-19212.013523649544,6143.561716163975,1574.3420041926593,40.08315345482645,8.970561936553531e-05,7.358283143948887,0.7048194655367443,0.952199399471283,1.007325530052185,3.082892656326294,0.0,0.0,0.0,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP7,maddpg,31,-2142.0367716325977,684.0311833481697,-19278.330944693374,6156.280650133531,1576.440796702719,40.14112912862002,9.679425117649443e-05,7.386613551156752,0.7367728449284069,0.9502219557762146,1.0083863735198977,3.0846962928771973,0.0,0.0,0.032258064516129,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP8,maddpg,31,-2140.6288589134174,684.1289268535919,-19265.65973022076,6157.160341682328,1575.682412068437,40.12035734779056,9.175078666250707e-05,7.3746536960276226,0.7282100287416289,0.9502218961715698,1.0086041688919067,3.083762884140014,0.0,0.0,0.064516129032258,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP9,maddpg,31,-2143.305863434642,683.9817185313402,-19289.752770911786,6155.835466782063,1577.6941561566214,40.173842850204366,0.0001722820261587,7.4034599260557235,0.7338645728405124,0.950148344039917,1.0087405443191528,3.0840554237365723,0.0,0.0,0.032258064516129,1.0,1.0,gcn,run_0,gcn_ieee69_tp_full_eval_run0_best
TP1,maddpg,31,-2156.1654462684546,675.0399132292112,-19405.489016416093,6075.359219062899,1587.159207980642,40.12298847805611,0.0586454570035035,6.459316624930142,0.743715697819347,0.9521931409835817,1.015722155570984,3.045483350753784,0.0,0.0,0.0,1.0,1.0,gcn,run_1,gcn_ieee69_tp_full_eval_run1_best
