topology_case,policy,episode_id,start_index,total_reward_mean,total_reward_team,total_energy_cost,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate
TP6,mlp_maddpg,0,32064,-767.3682501792907,-3836.841250896454,545.0398537567131,14.566922006493712,10.115079065594962,4.549199850361136,0.41831981514890987,0.7639535069465637,0.9500979781150818,1.0019718408584595,1.4704935550689697,0.0,0.0,0,1.0,1.0
TP6,mlp_maddpg,1,32160,-620.584542491287,-3102.922712456435,438.5548943477594,12.076014157376903,11.491873417778608,4.560029487810996,0.34440785956879455,0.7020696401596069,0.9513106346130371,1.0023024082183838,1.35986328125,0.0,0.0,0,1.0,1.0
TP6,mlp_maddpg,2,32256,-1852.695047467947,-9263.475237339735,836.1522871235908,22.26358029365008,5.0116246440341605,3.638061824941391,0.6607281286269426,1.0597715377807617,0.9309684038162231,1.0011738538742065,2.0557267665863037,0.01903162482674814,0.0,34,0.6458333333333334,1.0
TP6,mlp_maddpg,3,32352,-2302.6283633112907,-11513.141816556454,965.1592336718722,22.27610329878445,6.711893443698862,2.5935765655266523,0.6697531143824259,1.1072477102279663,0.9275254607200623,1.001301884651184,2.1274406909942627,0.022474528405609262,0.0,48,0.5,1.0
TP6,mlp_maddpg,4,32448,-2991.0960078537464,-14955.480039268732,1241.1070478798554,26.916456299500567,0.0,1.6227311741374433,0.7824718287835518,1.099125623703003,0.9280297160148621,1.0000660419464111,2.1088693141937256,0.02197028357554065,0.0,64,0.3333333333333333,1.0
TP6,mlp_maddpg,5,32544,-4435.321756744384,-22176.608783721924,2013.61597658649,36.1023782597789,0.0,0.8866624293103813,0.9424391196419796,1.086875081062317,0.9288637042045593,1.0,2.0867855548858643,0.021136293141763907,0.0,85,0.11458333333333333,1.0
TP6,mlp_maddpg,6,32640,-4155.041137313843,-20775.205686569214,1798.0383473905924,35.90181901427428,0.0,0.8271988809853791,0.9424268652995428,1.1035929918289185,0.9275438189506531,1.0,2.1169776916503906,0.02245618229355817,0.0,85,0.11458333333333333,1.0
TP6,mlp_maddpg,7,32736,-1850.456839466095,-9252.284197330475,1085.0215436862932,22.54161711853544,0.0,2.450963253833528,0.6404210397352775,0.7891160845756531,0.9476245641708374,1.0,1.4954314231872559,0.0023754449736176353,0.0,18,0.8854166666666666,1.0
TP6,mlp_maddpg,8,32832,-1078.0368909373879,-5390.18445468694,673.8334902395484,14.80566689110475,8.967299771993153,4.657713195014531,0.4503076355904341,0.7957420945167542,0.9475515484809875,1.0016791820526123,1.5136948823928833,0.0024484391390078297,0.0,7,0.96875,1.0
TP6,mlp_maddpg,9,32928,-2764.692323589325,-13823.461617946625,1161.953444457735,23.757901113061223,6.091007997915497,2.1560956315525965,0.7225368370612463,1.182863473892212,0.921825110912323,1.0012202262878418,2.2374753952026367,0.028174913325986317,0.0,58,0.3958333333333333,1.0
TP6,mlp_maddpg,10,33024,-2977.6425589978694,-14888.212794989347,1356.0438327737493,24.901575363032293,2.7040014390530422,2.2738718894059016,0.7455792234589657,1.171077013015747,0.9228167533874512,1.0012493133544922,2.2211837768554688,0.027183245861739813,0.0,56,0.4166666666666667,1.0
TP6,mlp_maddpg,11,33120,-3109.6092479705812,-15548.046239852905,1437.6994070271915,28.661801243400248,0.0,1.5680070921434284,0.8060316027452549,1.0726330280303955,0.9299498796463013,1.0,2.0729992389678955,0.020050131019082595,0.0,57,0.40625,1.0
TP6,mlp_maddpg,12,33216,-1751.6194198042153,-8758.097099021077,901.371240947897,20.072972610278782,5.987033733397016,4.1942827709610455,0.608255478243033,1.0534882545471191,0.9314048290252686,1.0014055967330933,2.0449113845825195,0.018595163229865874,0.0,25,0.7395833333333334,1.0
TP6,mlp_maddpg,13,33312,-3208.1340115308763,-16040.67005765438,1215.3047553792928,31.27725253744137,0.03711672846214964,1.4757990582622587,0.8671201076358557,1.110594630241394,0.9270201921463013,1.0003801584243774,2.1242177486419678,0.022979804441312868,0.0,76,0.20833333333333334,1.0
