feeder,topology_case,gnn_architecture,comparison,paired_episodes,mlp_mean_cost,gnn_mean_cost,mean_difference_gnn_minus_mlp,median_difference_gnn_minus_mlp,mean_cost_improvement_percent,gnn_wins,mlp_wins,ties,gnn_win_rate_excluding_ties,wilcoxon_statistic_two_sided,p_value_two_sided,wilcoxon_statistic_gnn_lower,p_value_gnn_lower_one_sided,rank_biserial_gnn_minus_mlp,p_holm_two_sided,p_holm_gnn_lower_one_sided,significant_two_sided_0p05,significant_gnn_lower_0p05
IEEE33,TP1,gcn,GCN vs MLP,31,605.4673580271084,600.8649142847237,-4.602443742384836,-3.6944543260214004,0.7601472947082712,23,8,0,0.7419354838709677,96.0,0.0021575288847088814,96.0,0.0010787644423544407,-0.6129032258064516,0.004315057769417763,0.0021575288847088814,True,True
IEEE33,TP1,gat,GAT vs MLP,31,605.4673580271084,604.0113366769061,-1.4560213502023578,-1.4182448248355968,0.2404789177977574,23,8,0,0.7419354838709677,146.0,0.045629615895450115,146.0,0.022814807947725058,-0.4112903225806452,0.045629615895450115,0.022814807947725058,True,True
IEEE33,TP1,tagconv,TAGCONV vs MLP,31,605.4673580271084,599.1980845570539,-6.269273470054597,-5.48724806911963,1.0354436761847357,30,1,0,0.967741935483871,1.0,1.862645149230957e-09,1.0,9.313225746154785e-10,-0.9959677419354839,5.587935447692871e-09,2.7939677238464355e-09,True,True
IEEE33,TP2,gcn,GCN vs MLP,31,601.009699184707,597.3723475333321,-3.637351651374611,-2.6959798510918063,0.6052068138515987,21,10,0,0.6774193548387096,132.0,0.022097455337643623,132.0,0.011048727668821812,-0.46774193548387094,0.04419491067528725,0.022097455337643623,True,True
IEEE33,TP2,gat,GAT vs MLP,31,601.009699184707,600.2761117380112,-0.7335874466955677,-0.8874419966517735,0.1220591693762854,21,10,0,0.6774193548387096,169.0,0.12516957335174084,169.0,0.06258478667587042,-0.3185483870967742,0.12516957335174084,0.06258478667587042,False,False
IEEE33,TP2,tagconv,TAGCONV vs MLP,31,601.009699184707,595.8991272411135,-5.110571943593201,-4.780617184606513,0.8503310263588263,30,1,0,0.967741935483871,4.0,6.51925802230835e-09,4.0,3.259629011154175e-09,-0.9838709677419355,1.955777406692505e-08,9.778887033462524e-09,True,True
IEEE33,TP3,gcn,GCN vs MLP,31,604.5159782042086,602.098038220577,-2.4179399836316717,-2.3539950912784775,0.3999794994359683,20,11,0,0.6451612903225806,148.0,0.050248345360159874,148.0,0.025124172680079937,-0.4032258064516129,0.050248345360159874,0.025124172680079937,False,True
IEEE33,TP3,gat,GAT vs MLP,31,604.5159782042086,602.8492906021658,-1.6666876020428176,-2.5932987087159063,0.27570612889240603,22,9,0,0.7096774193548387,133.0,0.023342357017099857,133.0,0.011671178508549929,-0.4637096774193548,0.046684714034199715,0.023342357017099857,True,True
IEEE33,TP3,tagconv,TAGCONV vs MLP,31,604.5159782042086,601.3235935612198,-3.1923846429887703,-3.283977025703507,0.5280893736625806,27,4,0,0.8709677419354839,32.0,2.5741755962371826e-06,32.0,1.2870877981185913e-06,-0.8709677419354839,7.722526788711548e-06,3.861263394355774e-06,True,True
IEEE33,TP4,gcn,GCN vs MLP,31,598.9212705470917,596.2640481697707,-2.657222377321091,-2.4486491047723575,0.4436680592248303,20,11,0,0.6451612903225806,162.0,0.09416095819324255,162.0,0.047080479096621275,-0.3467741935483871,0.1883219163864851,0.09416095819324255,False,False
IEEE33,TP4,gat,GAT vs MLP,31,598.9212705470917,598.7176743402174,-0.20359620687435245,-0.8602677270230288,0.03399381803359853,20,11,0,0.6451612903225806,195.0,0.3081742124632001,195.0,0.15408710623160005,-0.21370967741935484,0.3081742124632001,0.15408710623160005,False,False
IEEE33,TP4,tagconv,TAGCONV vs MLP,31,598.9212705470917,597.0670608306784,-1.8542097164133169,-2.0144164110242855,0.3095915619626459,24,7,0,0.7741935483870968,90.0,0.0013564806431531906,90.0,0.0006782403215765953,-0.6370967741935484,0.004069441929459572,0.002034720964729786,True,True
IEEE33,TP5,gcn,GCN vs MLP,31,604.4257373529418,601.1138639162381,-3.3118734367036917,-3.680517853837955,0.5479371959255044,22,9,0,0.7096774193548387,107.0,0.004751680418848991,107.0,0.0023758402094244957,-0.5685483870967742,0.009503360837697983,0.004751680418848991,True,True
IEEE33,TP5,gat,GAT vs MLP,31,604.4257373529418,605.2878569630014,0.8621196100597951,1.6317241301813965,-0.14263449697480224,12,19,0,0.3870967741935484,175.0,0.15741967037320137,321.0,0.9241707366891205,0.29435483870967744,0.15741967037320137,0.9241707366891205,False,False
IEEE33,TP5,tagconv,TAGCONV vs MLP,31,604.4257373529418,599.0895105587874,-5.336226794154226,-6.5916675323842355,0.8828589625458709,26,5,0,0.8387096774193549,37.0,5.317851901054382e-06,37.0,2.658925950527191e-06,-0.8508064516129032,1.5953555703163147e-05,7.976777851581573e-06,True,True
IEEE33,TP6,gcn,GCN vs MLP,31,606.080816902437,602.6705466346453,-3.4102702677916685,-3.5409425608741003,0.5626758301344926,22,9,0,0.7096774193548387,114.0,0.007560359314084053,114.0,0.0037801796570420265,-0.5403225806451613,0.015120718628168106,0.007560359314084053,True,True
IEEE33,TP6,gat,GAT vs MLP,31,606.080816902437,604.8423737029451,-1.2384431994919232,-0.4158006507450409,0.20433631373145672,20,11,0,0.6451612903225806,173.0,0.14605465531349182,173.0,0.07302732765674591,-0.3024193548387097,0.14605465531349182,0.07302732765674591,False,False
IEEE33,TP6,tagconv,TAGCONV vs MLP,31,606.080816902437,597.6515099092528,-8.429306993184248,-8.316774821726995,1.390789273989039,28,3,0,0.9032258064516129,7.0,1.7695128917694092e-08,7.0,8.847564458847046e-09,-0.9717741935483871,5.3085386753082275e-08,2.6542693376541138e-08,True,True
IEEE33,TP7,gcn,GCN vs MLP,31,603.0969583208231,599.2796728337054,-3.817285487117642,-3.0858608669850582,0.6329472292060664,22,9,0,0.7096774193548387,130.0,0.019774673506617546,130.0,0.009887336753308773,-0.47580645161290325,0.03954934701323509,0.019774673506617546,True,True
IEEE33,TP7,gat,GAT vs MLP,31,603.0969583208231,602.8434288164786,-0.25352950434434035,-0.7850915161948251,0.04203793450564457,16,15,0,0.5161290322580645,207.0,0.43272085953503847,207.0,0.21636042976751924,-0.16532258064516128,0.43272085953503847,0.21636042976751924,False,False
IEEE33,TP7,tagconv,TAGCONV vs MLP,31,603.0969583208231,598.5465768887665,-4.550381432056649,-4.302131547528404,0.7545024675179994,28,3,0,0.9032258064516129,14.0,1.0244548320770264e-07,14.0,5.122274160385132e-08,-0.9435483870967742,3.073364496231079e-07,1.5366822481155396e-07,True,True
IEEE69,TP1,gcn,GCN vs MLP,31,1587.3349859932375,1582.6861509624612,-4.648835030776596,-6.171181343105786,0.2928704446004165,26,5,0,0.8387096774193549,97.0,0.0023254938423633575,97.0,0.0011627469211816788,-0.6088709677419355,0.0023254938423633575,0.0011627469211816788,True,True
IEEE69,TP1,gat,GAT vs MLP,31,1587.3349859932375,1573.923874025432,-13.411111967805482,-15.693195526485852,0.8448822766552829,28,3,0,0.9032258064516129,26.0,9.955838322639465e-07,26.0,4.977919161319733e-07,-0.8951612903225806,2.9867514967918396e-06,1.4933757483959198e-06,True,True
