feeder,topology_case,episode_id,start_index,mlp_cost,gnn_cost,gnn_architecture,difference_gnn_minus_mlp,improvement_percent,winner
IEEE33,TP1,0,32064,364.340747685379,349.1925947195673,gcn,-15.148152965811676,4.157688389796202,gcn
IEEE33,TP1,1,32160,295.8449610146694,280.68828075196865,gcn,-15.156680262700775,5.123183511633052,gcn
IEEE33,TP1,2,32256,517.521914879484,510.2001098455209,gcn,-7.32180503396313,1.4147816398592836,gcn
IEEE33,TP1,3,32352,595.2067568070696,576.4240250794703,gcn,-18.782731727599298,3.155665071471548,gcn
IEEE33,TP1,4,32448,774.6194901318789,782.4042757935454,gcn,7.784785661666433,-1.0049818989632024,mlp
IEEE33,TP1,5,32544,1382.1506774261852,1378.6740813605963,gcn,-3.476596065588865,0.25153524303608604,gcn
IEEE33,TP1,6,32640,1233.113618883736,1231.462046712587,gcn,-1.651572171149155,0.13393511723957963,gcn
IEEE33,TP1,7,32736,689.4335281518479,692.9172224866987,gcn,3.4836943348508385,-0.5052980733602433,mlp
IEEE33,TP1,8,32832,434.4920579399133,418.5594593660514,gcn,-15.932598573861924,3.6669481714819447,gcn
IEEE33,TP1,9,32928,699.8631086647497,682.0168589268006,gcn,-17.84624973794905,2.549962916604854,gcn
IEEE33,TP1,10,33024,827.8270836739681,820.7442953787036,gcn,-7.08278829526455,0.8555878920789258,gcn
IEEE33,TP1,11,33120,880.2672990949274,881.0359087691808,gcn,0.7686096742534119,-0.08731548644868217,mlp
IEEE33,TP1,12,33216,580.873518601754,563.643600276404,gcn,-17.229918325350013,2.966208266271959,gcn
IEEE33,TP1,13,33312,785.0616220992166,779.2673569834841,gcn,-5.7942651157325145,0.738065006953076,gcn
IEEE33,TP1,14,33408,378.5364358533547,369.45021335132645,gcn,-9.08622250202825,2.400356119363965,gcn
IEEE33,TP1,15,33504,332.89506021988456,335.6581804231775,gcn,2.7631202032929423,-0.8300273970625579,mlp
IEEE33,TP1,16,33600,570.2667550767693,566.4650758278099,gcn,-3.801679248959431,0.6666492856396037,gcn
IEEE33,TP1,17,33696,721.2547896275559,721.2514274877275,gcn,-0.0033621398283685267,0.0004661514733378312,gcn
IEEE33,TP1,18,33792,890.0341198945185,886.3844413527207,gcn,-3.6496785417978117,0.4100605201776253,gcn
IEEE33,TP1,19,33888,464.5849235773823,457.795756810181,gcn,-6.789166767201323,1.4613403110293792,gcn
IEEE33,TP1,20,33984,435.9289705069918,431.9563541051339,gcn,-3.972616401857863,0.9112990121389849,gcn
IEEE33,TP1,21,34080,305.42989158500774,301.73543725898634,gcn,-3.6944543260214004,1.2095916044265609,gcn
IEEE33,TP1,22,34176,243.37179144093227,238.6056050909758,gcn,-4.766186349956456,1.9583972003235375,gcn
IEEE33,TP1,23,34272,612.7506823198634,617.9498831644439,gcn,5.1992008445805595,-0.8485018449749376,mlp
IEEE33,TP1,24,34368,698.080198844531,700.8537364666381,gcn,2.773537622107142,-0.3973093101190849,mlp
IEEE33,TP1,25,34464,898.4770656290189,895.5138106179162,gcn,-2.9632550111026603,0.3298086422526658,gcn
IEEE33,TP1,26,34560,527.9963392369149,519.3057020335831,gcn,-8.69063720333179,1.6459654276944242,gcn
IEEE33,TP1,27,34656,417.4378028732945,413.8178582424735,gcn,-3.61994463082101,0.8671817947259024,gcn
IEEE33,TP1,28,34752,346.81286396179894,350.44894153523734,gcn,3.636077573438399,-1.048426385313928,mlp
IEEE33,TP1,29,34848,379.5817623933504,379.2630946083286,gcn,-0.31866778502183024,0.08395234349842218,gcn
IEEE33,TP1,30,34944,485.4322607444149,493.1267079991944,gcn,7.694447254779504,-1.5850712606080193,mlp
IEEE33,TP1,0,32064,364.340747685379,363.50085302986326,gat,-0.8398946555157067,0.23052449138655917,gat
IEEE33,TP1,1,32160,295.8449610146694,295.2049630357208,gat,-0.6399979789485997,0.21632884222654225,gat
IEEE33,TP1,2,32256,517.521914879484,512.1511074902774,gat,-5.370807389206675,1.0377932286128175,gat
IEEE33,TP1,3,32352,595.2067568070696,594.6980093124897,gat,-0.5087474945798931,0.08547407917696045,gat
IEEE33,TP1,4,32448,774.6194901318789,773.4710806286183,gat,-1.1484095032606092,0.1482546615326052,gat
IEEE33,TP1,5,32544,1382.1506774261852,1372.9523261828429,gat,-9.198351243342358,0.6655100195350158,gat
IEEE33,TP1,6,32640,1233.113618883736,1226.3108798214175,gat,-6.802739062318551,0.5516717160643042,gat
IEEE33,TP1,7,32736,689.4335281518479,696.6091754221507,gat,7.175647270302761,-1.0408033519255135,mlp
IEEE33,TP1,8,32832,434.4920579399133,442.58314624402874,gat,8.09108830411543,-1.862194752759868,mlp
IEEE33,TP1,9,32928,699.8631086647497,695.9653578080209,gat,-3.8977508567287487,0.5569304637538567,gat
IEEE33,TP1,10,33024,827.8270836739681,820.0960994721303,gat,-7.730984201837828,0.9338887739124277,gat
IEEE33,TP1,11,33120,880.2672990949274,879.1422373532687,gat,-1.1250617416586692,0.1278091033048069,gat
IEEE33,TP1,12,33216,580.873518601754,582.8692958651585,gat,1.995777263404534,-0.34358207070769153,mlp
IEEE33,TP1,13,33312,785.0616220992166,784.881302326305,gat,-0.18031977291161638,0.02296886866402284,gat
IEEE33,TP1,14,33408,378.5364358533547,376.6654384135641,gat,-1.8709974397905853,0.49427142609738395,gat
IEEE33,TP1,15,33504,332.89506021988456,341.2520361219136,gat,8.356975902029035,-2.510393484514029,mlp
IEEE33,TP1,16,33600,570.2667550767693,564.0292395193295,gat,-6.237515557439792,1.093789091142109,gat
IEEE33,TP1,17,33696,721.2547896275559,722.905651741834,gat,1.6508621142781976,-0.22888750799570784,mlp
IEEE33,TP1,18,33792,890.0341198945185,889.5100396605714,gat,-0.5240802339471884,0.05888316214318831,gat
IEEE33,TP1,19,33888,464.5849235773823,461.899940593612,gat,-2.6849829837703396,0.57793157881567,gat
IEEE33,TP1,20,33984,435.9289705069918,431.9076352669067,gat,-4.0213352400850795,0.9224748782830854,gat
IEEE33,TP1,21,34080,305.42989158500774,301.77126222650094,gat,-3.6586293585068006,1.1978622457417614,gat
IEEE33,TP1,22,34176,243.37179144093227,240.15632436062523,gat,-3.215467080307036,1.3212160132730288,gat
IEEE33,TP1,23,34272,612.7506823198634,617.8357741248368,gat,5.085091804973445,-0.8298794194273886,mlp
IEEE33,TP1,24,34368,698.080198844531,699.5676155543651,gat,1.4874167098341786,-0.21307246822015077,mlp
IEEE33,TP1,25,34464,898.4770656290189,895.5754521154244,gat,-2.901613513594498,0.3229479777052622,gat
IEEE33,TP1,26,34560,527.9963392369149,522.3881040228558,gat,-5.60823521405905,1.0621731245645254,gat
IEEE33,TP1,27,34656,417.4378028732945,413.7459112216877,gat,-3.691891651606795,0.8844171817202191,gat
IEEE33,TP1,28,34752,346.81286396179894,347.537125124449,gat,0.7242611626500661,-0.20883341937680913,mlp
IEEE33,TP1,29,34848,379.5817623933504,378.1635175685148,gat,-1.4182448248355968,0.37363355285913546,gat
IEEE33,TP1,30,34944,485.4322607444149,479.0045353548062,gat,-6.4277253896087245,1.3241240661985973,gat
IEEE33,TP1,0,32064,364.340747685379,354.90948288449573,tagconv,-9.431264800883241,2.588583588522322,tagconv
IEEE33,TP1,1,32160,295.8449610146694,287.4460882118347,tagconv,-8.398872802834717,2.8389440110890583,tagconv
IEEE33,TP1,2,32256,517.521914879484,510.023574974066,tagconv,-7.4983399054180495,1.448893213954852,tagconv
IEEE33,TP1,3,32352,595.2067568070696,585.3335171947534,tagconv,-9.873239612316183,1.6587915878643993,tagconv
IEEE33,TP1,4,32448,774.6194901318789,768.7104929491302,tagconv,-5.908997182748749,0.7628257819516964,tagconv
IEEE33,TP1,5,32544,1382.1506774261852,1378.1156213778006,tagconv,-4.035056048384604,0.2919403878525465,tagconv
IEEE33,TP1,6,32640,1233.113618883736,1228.0686877381245,tagconv,-5.044931145611599,0.4091213549468761,tagconv
IEEE33,TP1,7,32736,689.4335281518479,689.5861683990491,tagconv,0.1526402472012478,-0.02213995127426248,mlp
IEEE33,TP1,8,32832,434.4920579399133,432.14325073246897,tagconv,-2.348807207444338,0.540586913965907,tagconv
IEEE33,TP1,9,32928,699.8631086647497,684.8153882699222,tagconv,-15.04772039482748,2.1500948126179455,tagconv
IEEE33,TP1,10,33024,827.8270836739681,810.2085213211559,tagconv,-17.618562352812205,2.128290158691052,tagconv
IEEE33,TP1,11,33120,880.2672990949274,870.7196048929778,tagconv,-9.547694201949525,1.084635793214887,tagconv
IEEE33,TP1,12,33216,580.873518601754,570.3572425519584,tagconv,-10.516276049795579,1.81042442339423,tagconv
IEEE33,TP1,13,33312,785.0616220992166,778.6197238629175,tagconv,-6.441898236299153,0.8205595656394246,tagconv
IEEE33,TP1,14,33408,378.5364358533547,370.2788671245592,tagconv,-8.25756872879549,2.1814462087856925,tagconv
IEEE33,TP1,15,33504,332.89506021988456,331.14736695103176,tagconv,-1.7476932688527995,0.5249982585197899,tagconv
IEEE33,TP1,16,33600,570.2667550767693,562.8458569310104,tagconv,-7.420898145758883,1.3013029568521635,tagconv
IEEE33,TP1,17,33696,721.2547896275559,717.8687307950971,tagconv,-3.3860588324587297,0.4694677777054673,tagconv
IEEE33,TP1,18,33792,890.0341198945185,887.239779014692,tagconv,-2.7943408798265637,0.313958849145888,tagconv
IEEE33,TP1,19,33888,464.5849235773823,459.18392534323726,tagconv,-5.4009982341450495,1.1625427257855145,tagconv
IEEE33,TP1,20,33984,435.9289705069918,430.44172243787216,tagconv,-5.48724806911963,1.2587481999046497,tagconv
IEEE33,TP1,21,34080,305.42989158500774,300.9241230796385,tagconv,-4.505768505369247,1.475221852709591,tagconv
IEEE33,TP1,22,34176,243.37179144093227,238.7398680441493,tagconv,-4.63192339678298,1.9032293633369481,tagconv
IEEE33,TP1,23,34272,612.7506823198634,611.8788992291057,tagconv,-0.8717830907576172,0.14227370379369658,tagconv
IEEE33,TP1,24,34368,698.080198844531,692.4810845899427,tagconv,-5.599114254588244,0.8020732093326743,tagconv
IEEE33,TP1,25,34464,898.4770656290189,895.07720502582,tagconv,-3.3998606031988174,0.37840260294441613,tagconv
IEEE33,TP1,26,34560,527.9963392369149,519.9710088668832,tagconv,-8.025330370031725,1.519959471997535,tagconv
IEEE33,TP1,27,34656,417.4378028732945,412.50114637542293,tagconv,-4.9366564978715815,1.1826088734397664,tagconv
IEEE33,TP1,28,34752,346.81286396179894,344.772026866907,tagconv,-2.040837094891913,0.58845484321963,tagconv
IEEE33,TP1,29,34848,379.5817623933504,377.7014903354643,tagconv,-1.8802720578860885,0.49535363501938035,tagconv
IEEE33,TP1,30,34944,485.4322607444149,473.03015489718194,tagconv,-12.402105847232974,2.554858185200594,tagconv
IEEE33,TP2,0,32064,362.1727272392863,347.75228814380154,gcn,-14.420439095484767,3.9816468803177525,gcn
IEEE33,TP2,1,32160,294.51664395566917,280.0047279409362,gcn,-14.511916014732947,4.927367030882401,gcn
IEEE33,TP2,2,32256,512.9328164796277,507.21008178134633,gcn,-5.722734698281386,1.1156889390618034,gcn
IEEE33,TP2,3,32352,590.1244418458333,571.6655373382933,gcn,-18.458904507539955,3.127968136653157,gcn
IEEE33,TP2,4,32448,768.7549035527642,776.9586289050754,gcn,8.203725352311267,-1.067144458448088,mlp
IEEE33,TP2,5,32544,1372.4166435861553,1369.7206637350635,gcn,-2.6959798510918063,0.1964403349151429,gcn
IEEE33,TP2,6,32640,1224.4875324668758,1223.892830868439,gcn,-0.5947015984368136,0.04856738698177812,gcn
IEEE33,TP2,7,32736,685.6007194186808,689.7134486611253,gcn,4.112729242444516,-0.5998723638930381,mlp
