feeder,architecture,run,topology_case,episode_id,start_index,total_energy_cost,total_reward_mean,total_reward_team,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate,source_folder,source_file
IEEE33,gat,0,TP1,11,33120,870.451463750516,-1191.130978512764,-5955.65489256382,17.437507815038167,0.0,4.1641225901436645,0.4769565593451261,0.7298119068145752,0.9565842151641846,1.0,1.594332218170166,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,12,33216,576.9935503197196,-800.0286618649959,-4000.14330932498,13.10445153496804,9.448478875714134,5.803751200846816,0.3509870879352093,0.706941545009613,0.9584465622901917,1.002039909362793,1.5572397708892822,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,13,33312,785.0179622732662,-1085.3606444045902,-5426.803222022951,20.37263199623621,0.1920656320864081,3.891935945954015,0.5186872227738301,0.7245588898658752,0.955172836780548,1.0013610124588013,1.580040693283081,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,14,33408,379.48469236382215,-536.633866341412,-2683.1693317070603,10.689199825410537,13.776880265852974,5.266060921094704,0.2750383106370767,0.5520982146263123,0.9667477011680604,1.0023362636566162,1.2065672874450684,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,15,33504,342.0012447864768,-477.8468878151849,-2389.2344390759245,9.602943285088422,1.9800103652975336,5.249238052219811,0.2556350827217102,0.4784782528877258,0.9707414507865906,1.0033552646636963,1.0319305658340454,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,16,33600,566.8179506271806,-789.9934666348621,-3949.967333174311,15.262726906045966,3.4117204824401552,5.178283819039455,0.4081075806170702,0.7365606427192688,0.9546473026275636,1.0019831657409668,1.610965371131897,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,17,33696,710.5551059320471,-983.291085134074,-4916.4554256703705,17.10215854363055,4.219174170259885,4.967972154813408,0.4552498919268449,0.7467271089553833,0.9537097215652466,1.0007325410842896,1.631975531578064,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,18,33792,880.4066927996797,-1212.7210827708243,-6063.605413854122,21.87918629610225,0.0,3.772062025054628,0.5462660044431686,0.6955582499504089,0.9578428268432616,1.0,1.5308502912521362,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,19,33888,462.2952351587792,-655.3835120350122,-3276.917560175061,14.255135239586766,10.293251316813588,5.260035585184351,0.3822985924780369,0.7375828623771667,0.9550960659980774,1.0019301176071167,1.6167800426483154,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,20,33984,431.1463316467478,-614.7165452212096,-3073.582726106048,14.350196921325017,9.000646051643734,5.313778564609444,0.3876067747672398,0.7554526925086975,0.9539062976837158,1.0019803047180176,1.65323007106781,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,21,34080,301.80675585345324,-434.2090995470528,-2171.045497735264,10.809805071984218,11.851166126649456,5.111692750078824,0.2737080994993448,0.5406135320663452,0.9679445028305054,1.0022960901260376,1.2032238245010376,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,22,34176,239.7924587199373,-348.62873496375977,-1743.143674818799,8.698841688844741,14.223224161563987,5.150534098568178,0.2213783500095208,0.48206228017807,0.9701322317123412,1.002611756324768,1.027192234992981,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,23,34272,616.8686176579537,-863.7693168193102,-4318.846584096551,18.34091974825656,0.0267485895833944,3.7097425398783472,0.4950740343580643,0.7556429505348206,0.9535998106002808,1.0013834238052368,1.644890308380127,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,24,34368,694.0885707873812,-966.6755626372992,-4833.3778131864965,19.901163619030413,0.0901107035507516,3.6801661258848894,0.5150990467518568,0.7425479292869568,0.9530857801437378,1.001165509223938,1.620234131813049,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,25,34464,887.6284265515936,-1223.2452301740643,-6116.226150870323,22.960017455010867,0.0,3.23408158763081,0.5553875217835108,0.7077497839927673,0.9574605226516724,1.0,1.564042091369629,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,26,34560,520.1338348300436,-728.4431189060211,-3642.2155945301056,13.792401235390717,9.641865171502126,5.390081152182138,0.3684456994136174,0.7231813073158264,0.9562233686447144,1.0019811391830444,1.5937782526016235,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,27,34656,414.96181358645606,-593.8546462327242,-2969.273231163621,14.286194666599728,9.765094764809293,5.145332502305109,0.3851066703597705,0.7489398717880249,0.95439350605011,1.001818299293518,1.6440485715866089,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,28,34752,338.5878026405319,-487.0804007396102,-2435.402003698051,14.209446143985236,0.0,3.3266131993597803,0.3758013589928548,0.536740243434906,0.9674249291419984,1.0001558065414429,1.179032802581787,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,29,34848,372.2917169744379,-528.9357755184174,-2644.678877592087,14.11853560990792,0.0,3.29136058946673,0.3601009038587411,0.5099478960037231,0.9680513143539428,1.0,1.075539231300354,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP1,30,34944,475.0221393582343,-674.1875136032701,-3370.9375680163503,16.211065727932827,2.04885551664436,5.590952504169662,0.4433425273746252,0.7989782094955444,0.9503290057182312,1.0014148950576782,1.7195003032684326,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,0,32064,363.3218466648179,-503.4596619082615,-2517.2983095413074,9.838400542326683,13.056554474774403,5.463791297763817,0.1816183899839719,0.383008599281311,0.9781560897827148,1.002605676651001,1.1904771327972412,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
