feeder,architecture,topology_case,episode_id,start_index,total_energy_cost_seed_mean,total_reward_mean_seed_mean,total_reward_team_seed_mean,total_grid_import_mwh_seed_mean,total_curtailment_mwh_seed_mean,total_throughput_mwh_seed_mean,mean_voltage_deviation_seed_mean,max_voltage_deviation_seed_mean,min_voltage_pu_seed_mean,max_voltage_pu_seed_mean,max_line_current_pu_seed_mean,max_voltage_violation_seed_mean,max_line_current_violation_seed_mean,infeasible_requested_count_seed_mean,feasible_rate_seed_mean,converged_rate_seed_mean,total_energy_cost_seed_std,total_reward_mean_seed_std,total_reward_team_seed_std,total_grid_import_mwh_seed_std,total_curtailment_mwh_seed_std,total_throughput_mwh_seed_std,mean_voltage_deviation_seed_std,max_voltage_deviation_seed_std,min_voltage_pu_seed_std,max_voltage_pu_seed_std,max_line_current_pu_seed_std,max_voltage_violation_seed_std,max_line_current_violation_seed_std,infeasible_requested_count_seed_std,feasible_rate_seed_std,converged_rate_seed_std,n_runs
IEEE33,gat,TP1,0,32064,363.50085302986326,-511.61041613689935,-2558.0520806844966,9.782456493708834,13.086966983263487,5.020254870627859,0.24479889435072735,0.5196318030357361,0.9688961307207743,1.0021750926971436,1.131209135055542,0.0,0.0,0.0,1.0,1.0,12.773521267656049,17.309131040948348,86.54565520474148,0.33524050926425747,0.271955046333077,0.3838889633160476,0.00425898340099472,0.013342169365910452,0.001092153376836583,0.00033417387548923775,0.06726237063295239,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,1,32160,295.2049630357208,-418.62035071980205,-2093.1017535990104,8.175891612626662,14.056089603935307,4.966219994574611,0.2058240560193856,0.4586203495661418,0.9725297888120016,1.003662904103597,0.9977877338727316,0.0,0.0,0.0,1.0,1.0,9.910912450995237,13.526296942814334,67.63148471407142,0.275604785924338,0.26804030290684616,0.451619225536991,0.0036317572512182864,0.010099036172451862,0.0006693625501399971,0.0011039439662958324,0.03743997757122281,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,2,32256,512.1511074902774,-717.9916338436306,-3589.9581692181528,14.029332911911135,7.472969602684479,5.3863768020116565,0.37940247543156147,0.7166935404141744,0.9554080168406168,1.0010788043340046,1.518888235092163,0.0,0.0,0.0,1.0,1.0,9.090056458992663,12.261940915782976,61.30970457891529,0.21977763579978904,0.18220183431526005,0.06475921932736305,0.0028447376332942386,0.0045525089432473746,0.001671018669063556,0.00014543808546224138,0.04488428959614566,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,3,32352,594.6980093124897,-827.2547165234884,-4136.273582617442,14.03502081068622,9.9113167600432,5.297937036140061,0.3821774638361401,0.744219183921814,0.9529418349266052,1.0017178853352864,1.5963522990544636,0.0,0.0,0.0,1.0,1.0,20.56121072058442,27.79714195516988,138.98570977584933,0.46043287550563256,0.42942509864518297,0.2883579130125835,0.006577452489373195,0.010570288818147597,0.0019725542329772526,7.984391652219938e-05,0.02614198876261198,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,4,32448,773.4710806286183,-1062.0882359507184,-5310.441179753591,16.819565907311134,0.40072874286904114,4.312262400333606,0.45098649627632564,0.7397804458936056,0.9540896415710449,1.0012751420338948,1.5812540849049885,0.0,0.0,0.0,1.0,1.0,9.432539778507287,12.47110311973606,62.355515598680235,0.0700262297633542,0.13797720389399645,0.6904750081195157,0.0016355082412249143,0.03075759062351319,0.002779354492822025,4.137031829020567e-05,0.024514489581175004,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,5,32544,1372.9523261828429,-1858.4911898295086,-9292.455949147543,24.805942300690702,0.0,3.1550201374910114,0.5900483830935425,0.7412594755490621,0.9544189771016439,1.0,1.595911701520284,0.0,0.0,0.0,1.0,1.0,2.567563729323329,3.3185018140234335,16.592509070117394,0.0207245165898096,0.0,0.3038831963938227,0.0010293430997048972,0.026405564466173002,0.0027915301875600256,0.0,0.025730761054586056,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,6,32640,1226.3108798214175,-1667.6132455825807,-8338.066227912903,24.55305921588311,0.0,3.217259196760306,0.5880896329051919,0.746002733707428,0.9541746576627096,1.0,1.600293795267741,0.0,0.0,0.0,1.0,1.0,4.4491219652603515,5.855639043429964,29.27819521714925,0.00937478816919202,0.0,0.07060228498895868,0.000800218698626948,0.019320086846004367,0.0025847529090369443,0.0,0.003662455233116525,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,7,32736,696.6091754221507,-953.4172768875957,-4767.086384437978,14.542110450869075,0.0,3.4419192884306593,0.3831027158432536,0.5594564080238342,0.9650995930035909,1.0008490482966106,1.18254554271698,0.0,0.0,0.0,1.0,1.0,9.533266271299127,12.375802725296527,61.87901362648245,0.10666769278929086,0.0,0.9766040246660959,0.0004996922825512719,0.010080130014092692,0.001381437390795491,0.0002784414207588489,0.050319490930797704,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,8,32832,442.58314624402874,-615.3154018171132,-3076.577009085566,9.913285012247831,10.949720501566427,5.227055858485648,0.2628421129451857,0.511202851931254,0.9675453305244446,1.0019867420196535,1.0851167440414429,0.0,0.0,0.0,1.0,1.0,18.580333803804432,25.395188549528278,126.97594274764124,0.4168927757873117,0.5082348001731749,0.42532283213039934,0.007271521090276994,0.007694933512370855,0.0009401448990690024,0.00018768218322997438,0.028073996562089625,0.0,0.0,0.0,0.0,0.0,3
IEEE33,gat,TP1,9,32928,695.9653578080209,-981.2706774314244,-4906.353387157123,14.52537093778733,9.346993050916225,5.298565398532188,0.4040115589482916,0.7899857958157858,0.9507095019022623,1.0017237265904744,1.6804434458414714,0.0,0.0,1.0,1.0,1.0,26.050557253588774,29.530118411877297,147.65059205938547,0.5168917872618222,0.48410138454680823,0.3369026755284937,0.00731365332336667,0.010008555329615006,0.0006686981644146378,0.00017182646590283907,0.05239945305946073,0.0,0.0,1.7320508075688772,0.0,0.0,3
