topology_case,policy,episode_id,start_index,total_reward_mean,total_reward_team,total_energy_cost,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate
TP6,mlp_maddpg,0,32064,-763.7781235679984,-3818.890617839992,542.4645150193679,14.471662550209317,10.013403063939363,5.217192235133783,0.41659423025945824,0.7891258597373962,0.9501543641090393,1.00204598903656,1.5897210836410522,0.0,0.0,0,1.0,1.0
TP6,mlp_maddpg,1,32160,-622.4927332647145,-3112.4636663235724,439.99847616814486,12.069080580190871,11.47162756315609,5.045882132738136,0.344343642393748,0.6608471870422363,0.9570225477218628,1.002290964126587,1.3038402795791626,0.0,0.0,0,1.0,1.0
TP6,mlp_maddpg,2,32256,-1833.9930320143699,-9169.96516007185,822.4832278084506,22.119647656295342,4.9263048729526,4.339793581949171,0.6530122725913922,1.0597715377807617,0.9309684038162231,1.0008805990219116,2.0557267665863037,0.01903162482674814,0.0,34,0.6458333333333334,1.0
TP6,mlp_maddpg,3,32352,-2154.525364971161,-10772.626824855804,930.0517660256319,21.533881447606177,6.3522970330433335,3.524909808782191,0.6512751784175634,1.1072477102279663,0.9275254607200623,1.0013905763626099,2.1274406909942627,0.022474528405609262,0.0,43,0.5520833333333334,1.0
TP6,mlp_maddpg,4,32448,-2952.407164788246,-14762.03582394123,1226.4977953551052,26.60799455702835,0.0,1.7697684236615896,0.7848908404509226,1.099125623703003,0.9280297160148621,1.0,2.1088693141937256,0.02197028357554065,0.0,63,0.34375,1.0
TP6,mlp_maddpg,5,32544,-4439.913743019104,-22199.56871509552,2002.0775567077476,35.997610094701656,0.0,0.9358717270195485,0.939177930355072,1.086875081062317,0.9288637042045593,1.0,2.0867855548858643,0.021136293141763907,0.0,86,0.10416666666666667,1.0
TP6,mlp_maddpg,6,32640,-4171.752388572693,-20858.761942863464,1795.8619207640986,35.78173828032578,0.0,0.9355242691934109,0.9385146945714951,1.1035929918289185,0.9275438189506531,1.0,2.1169776916503906,0.02245618229355817,0.0,86,0.10416666666666667,1.0
TP6,mlp_maddpg,7,32736,-1747.892018175125,-8739.460090875626,1083.0985109939847,22.52323372434512,0.0,2.014348626393592,0.6398608343054851,0.7969347238540649,0.9476245641708374,1.0,1.6297770738601685,0.0023754449736176353,0.0,13,0.8645833333333334,1.0
TP6,mlp_maddpg,8,32832,-1003.7153514996171,-5018.5767574980855,663.1562447921609,14.690228925329336,8.768820904233877,5.4193609187615,0.4474620247880618,0.7957420945167542,0.9475515484809875,1.0016870498657227,1.5136948823928833,0.0024484391390078297,0.0,4,0.9583333333333334,1.0
TP6,mlp_maddpg,9,32928,-2397.6659642100335,-11988.329821050167,1098.316246474096,22.41177673833323,5.744984045448607,3.4890774727105662,0.6901756363610426,1.182863473892212,0.921825110912323,1.001428246498108,2.2374753952026367,0.028174913325986317,0.0,44,0.5416666666666666,1.0
TP6,mlp_maddpg,10,33024,-2739.9713513374327,-13699.856756687164,1298.7106915175918,23.86573554242034,2.2709895586872664,3.4948836631682925,0.7222290690988302,1.171077013015747,0.9228167533874512,1.0014142990112305,2.2211837768554688,0.027183245861739813,0.0,48,0.5,1.0
TP6,mlp_maddpg,11,33120,-3200.447338962555,-16002.236694812775,1415.4454371100403,28.297805614333583,0.0,1.1718303819864522,0.8043175426622232,1.0726330280303955,0.9299498796463013,1.0,2.0729992389678955,0.020050131019082595,0.0,63,0.34375,1.0
