model_name,gnn_type,checkpoint,device,mode,episode_id,start_index,steps,mean_inference_time_ms,std_inference_time_ms,median_inference_time_ms,p95_inference_time_ms,min_inference_time_ms,max_inference_time_ms,total_episode_inference_time_ms,control_interval_s,mean_time_fraction_of_control_interval
gat_run_1,gat,results/models/IEEE33/gat/run_1.pt,cpu,test,0,32064,96,6.177572761468279,0.27219034967111405,6.173094501718879,6.357494043186307,5.69520890712738,8.475519251078367,593.0469851009548,900.0,6.863969734964755e-06
gcn_run_2,gcn,results/models/IEEE33/gcn/run_2.pt,cpu,test,0,32064,96,4.474111497984268,0.34115748486783376,4.6190794091671705,4.802956595085561,3.5040038637816906,4.895898979157209,429.5147038064897,900.0,4.971234997760298e-06
tagconv_run_0,tagconv,results/models/IEEE33/tagconv/run_0.pt,cpu,test,0,32064,96,4.342875409444484,0.27201390917026197,4.2965703178197145,4.895818536169827,3.94629780203104,5.456115119159222,416.9160393066704,900.0,4.825417121604982e-06
