model,n_runs,episodes_per_run,reward_mean,reward_std,cost_usd_mean,cost_usd_std,grid_import_mwh_mean,grid_import_mwh_std,curtailment_mwh_mean,curtailment_mwh_std,throughput_mwh_mean,throughput_mwh_std,voltage_deviation_pu_mean,voltage_deviation_pu_std,worst_min_voltage_pu_mean,worst_min_voltage_pu_std,worst_max_voltage_pu_mean,worst_max_voltage_pu_std,worst_line_current_pu_mean,worst_line_current_pu_std,infeasible_requested_count_mean,infeasible_requested_count_std,feasible_rate_mean,feasible_rate_std,converged_rate_mean,converged_rate_std
MLP,3,31,-1170.5054164274068,40.66669994372021,686.8535408014568,11.924904867903047,17.238511718794122,0.27289386752510014,5.103571157578551,0.24189319523383784,3.653958385547058,0.2974568303928657,0.4966900238373373,0.006673062925088574,0.9389480352401732,0.0,1.005898078282674,0.005456431278556028,1.7554413080215454,0.0,10.612903225806452,1.565762722517625,0.903673835125448,0.0043725854157578405,1.0,0.0
GCN,3,31,-1172.8895064588849,77.15662708320005,682.4092728391344,11.520363213046698,17.1985935488241,0.19560739104065944,5.046431773189831,0.20547543232519772,4.30187982440836,1.1729316414252964,0.4953711492386663,0.0030959700364723342,0.9389480352401732,0.0,1.0087489287058513,0.0020477806746400074,1.7554413080215454,0.0,11.032258064516128,3.501003275263065,0.9191308243727598,0.030335751535634253,1.0,0.0
GAT,3,31,-1180.2186317647393,26.808712516322217,682.1454118419402,7.04356270374285,17.19556101325941,0.15269346504729397,5.062935052467214,0.15258531406362116,4.07023354956128,0.38938859874507376,0.49474780401048046,0.002705757106723838,0.9389480352401732,0.0,1.0061955054601033,0.002252052806592942,1.7554413080215454,0.0,11.419354838709678,1.310725784123228,0.9111783154121863,0.014497033770038949,1.0,0.0
TAGConv,3,31,-1137.2472612000931,8.091431131075414,676.9005127173964,7.950320146599073,17.05817361922365,0.1984645959722882,4.963208123852964,0.2297018324726328,4.278380353000731,0.5777805026266613,0.4931719375233496,0.0034977674281418112,0.9389480352401732,0.0,1.007197340329488,0.003136062645845226,1.7554413080215454,0.0,9.623655913978496,0.7622283268149367,0.9156586021505376,0.012446410737535113,1.0,0.0
