model,reward,cost_usd,grid_import_mwh,curtailment_mwh,throughput_mwh,voltage_deviation_pu,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,infeasible_requested_count,feasible_rate,converged_rate
MLP,-1170.51 ± 40.67,686.85 ± 11.92,17.2385 ± 0.2729,5.1036 ± 0.2419,3.6540 ± 0.2975,0.4967 ± 0.0067,0.9389 ± 0.0000,1.0059 ± 0.0055,1.7554 ± 0.0000,10.61 ± 1.57,0.9037 ± 0.0044,1.0000 ± 0.0000
GCN,-1172.89 ± 77.16,682.41 ± 11.52,17.1986 ± 0.1956,5.0464 ± 0.2055,4.3019 ± 1.1729,0.4954 ± 0.0031,0.9389 ± 0.0000,1.0087 ± 0.0020,1.7554 ± 0.0000,11.03 ± 3.50,0.9191 ± 0.0303,1.0000 ± 0.0000
GAT,-1180.22 ± 26.81,682.15 ± 7.04,17.1956 ± 0.1527,5.0629 ± 0.1526,4.0702 ± 0.3894,0.4947 ± 0.0027,0.9389 ± 0.0000,1.0062 ± 0.0023,1.7554 ± 0.0000,11.42 ± 1.31,0.9112 ± 0.0145,1.0000 ± 0.0000
TAGConv,-1137.25 ± 8.09,676.90 ± 7.95,17.0582 ± 0.1985,4.9632 ± 0.2297,4.2784 ± 0.5778,0.4932 ± 0.0035,0.9389 ± 0.0000,1.0072 ± 0.0031,1.7554 ± 0.0000,9.62 ± 0.76,0.9157 ± 0.0124,1.0000 ± 0.0000
