topology_case,policy,episode_id,start_index,total_reward_mean,total_reward_team,total_energy_cost,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate
TP6,maddpg,0,32064,-582.2035821288824,-2911.017910644412,412.2935392279676,11.14352156328556,12.415865117041639,5.307234269603273,0.3054285353670518,0.6478634476661682,0.9575132131576538,1.0022870302200317,1.2822463512420654,0.0,0.0,0,1.0,1.0
TP6,maddpg,1,32160,-478.5784919090569,-2392.8924595452845,336.6723100901222,9.355799689837852,13.510383453551187,5.552772051689236,0.25692592312892276,0.5773106217384338,0.9609495997428894,1.0036275386810303,1.1254624128341675,0.0,0.0,0,1.0,1.0
TP6,maddpg,2,32256,-934.5266365706921,-4672.63318285346,577.7733806201821,15.912600991341776,6.827624939566054,4.81705035451808,0.47252587291101616,0.8173267245292664,0.9467228055000305,1.0016212463378906,1.587455153465271,0.0032771729419470708,0.0,6,0.9583333333333334,1.0
TP6,maddpg,3,32352,-1154.702264469862,-5773.51132234931,654.3629214306542,15.443169168476118,8.64406094648437,4.773409932304066,0.46779192611575127,0.858379065990448,0.9438912272453308,1.0017988681793213,1.6546316146850586,0.006108756098218593,0.0,12,0.9270833333333334,1.0
TP6,maddpg,4,32448,-1499.5795976564289,-7497.897988282144,883.8622216604937,19.19431515078253,0.3492424774001667,3.274704183955559,0.5633996942390999,0.8521718978881836,0.9442751407623291,1.0009346008300781,1.6402943134307861,0.005724860721567637,0.0,14,0.9166666666666666,1.0
TP6,maddpg,5,32544,-2858.772855758667,-14293.864278793335,1529.8201635599346,27.569239752328656,0.0,2.001465646072232,0.72115516786774,0.8408599495887756,0.9450567960739136,1.0,1.6201311349868774,0.004943199865425907,0.0,39,0.7604166666666666,1.0
TP6,maddpg,6,32640,-2679.96510848999,-13399.825542449951,1361.6872101804558,27.32074279401479,0.0,1.9533648504838343,0.7192810003956159,0.8413094878196716,0.9448943138122559,1.0,1.6205058097839355,0.005105696808132776,0.0,41,0.7291666666666666,1.0
TP6,maddpg,7,32736,-1075.2973263338208,-5376.486631669104,781.286633593021,16.501758636744512,0.0,3.9772613665762333,0.4776035162309806,0.7052038311958313,0.9526587128639221,1.000600814819336,1.3500020503997803,0.0,0.0,0,1.0,1.0
TP6,maddpg,8,32832,-688.1879516310989,-3440.939758155495,492.58130458636987,11.125772528382868,10.336696950260624,5.743256307178235,0.32911742354432744,0.6494168639183044,0.9556697010993958,1.001763105392456,1.2165136337280273,0.0,0.0,0,1.0,1.0
TP6,maddpg,9,32928,-1456.0666147977113,-7280.333073988557,760.9960071015298,15.862804022909472,7.937797860815639,4.847011805223718,0.493201807141304,0.9157875180244446,0.9395659565925598,1.0017502307891846,1.7384114265441895,0.010434052464653232,0.0,20,0.90625,1.0
