topology_case,policy,episode_id,start_index,total_reward_mean,total_reward_team,total_energy_cost,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate
TP6,maddpg,0,32064,-711.6713206455112,-3558.3566032275558,504.9734356685888,13.527574346030406,11.141784430232686,4.262485851327643,0.38408399807910126,0.6852332353591919,0.9558151960372925,1.0016887187957764,1.3282930850982666,0.0,0.0,0,1.0,1.0
TP6,maddpg,1,32160,-584.9930983424186,-2924.9654917120934,413.1528370102757,11.413410047221134,12.530773389836849,4.106511495264467,0.31835953146219254,0.644974946975708,0.9581935405731201,1.0020155906677246,1.2601765394210815,0.0,0.0,0,1.0,1.0
TP6,maddpg,2,32256,-1607.5695417612792,-8037.8477088063955,745.5258480841364,20.108028294929397,6.034687335418963,4.184124536626463,0.5964695562918981,0.9740293622016907,0.9364545345306396,1.0007610321044922,1.8878810405731201,0.013545442860339874,0.0,28,0.78125,1.0
TP6,maddpg,3,32352,-1754.6640488505363,-8773.320244252682,842.9102731017158,19.47026664056017,7.406226093127326,4.262584810397342,0.592992822950085,1.023498773574829,0.9330381155014038,1.0015416145324707,1.9686894416809082,0.016961889164841426,0.0,29,0.6979166666666666,1.0
TP6,maddpg,4,32448,-2422.798913472891,-12113.994567364454,1118.5895834487553,23.91804621721633,0.0,2.8488695994439737,0.7103190682828426,1.0160272121429443,0.9335013628005981,1.0000382661819458,1.951547622680664,0.016498660539497,0.0,44,0.5520833333333334,1.0
TP6,maddpg,5,32544,-4208.63796710968,-21043.1898355484,1846.6356463087634,33.14702288460586,0.0,0.9499999999999997,0.8654441566516956,1.0041000843048096,0.9342671632766724,1.0,1.9297715425491333,0.01573285743270114,0.0,85,0.11458333333333333,1.0
TP6,maddpg,6,32640,-3873.96755027771,-19369.83775138855,1650.836096254977,32.9200432288755,0.0,0.9499999999999997,0.864391703158617,1.0201324224472046,0.9330554008483887,1.0,1.9590297937393188,0.0169446095938931,0.0,81,0.15625,1.0
TP6,maddpg,7,32736,-1348.1227844715117,-6740.613922357559,980.7878338332218,20.453837482858205,0.0,3.026599664551624,0.5856077702095112,0.756144642829895,0.9506531357765198,1.0,1.4472171068191528,0.0,0.0,0,1.0,1.0
TP6,maddpg,8,32832,-877.4584329260513,-4387.292164630257,630.0185411277456,13.854970152078579,9.867195818708439,4.361122660870069,0.4165389345337947,0.7365503907203674,0.9514689445495605,1.0014570951461792,1.402162790298462,0.0,0.0,0,1.0,1.0
TP6,maddpg,9,32928,-2033.8190606355668,-10169.095303177834,993.2268271877399,20.171428690463472,6.718841908102128,4.099456581403255,0.6266520265489817,1.0928983688354492,0.9278073906898499,1.0014885663986206,2.069777488708496,0.022192611749401125,0.0,33,0.65625,1.0
