model,reward,cost_usd,grid_import_mwh,curtailment_mwh,throughput_mwh,voltage_deviation_pu,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,infeasible_requested_count,feasible_rate,converged_rate
MLP,-1495.66 ± 95.02,772.62 ± 14.54,19.3518 ± 0.3209,4.7015 ± 0.2385,3.4206 ± 0.4455,0.5566 ± 0.0074,0.9330 ± 0.0000,1.0029 ± 0.0013,1.9221 ± 0.0000,20.94 ± 3.77,0.8015 ± 0.0222,1.0000 ± 0.0000
GCN,-1469.61 ± 77.12,763.26 ± 11.89,19.1834 ± 0.1934,4.6136 ± 0.2117,4.0239 ± 1.0680,0.5528 ± 0.0029,0.9330 ± 0.0000,1.0081 ± 0.0019,1.9221 ± 0.0000,20.27 ± 3.61,0.8278 ± 0.0287,1.0000 ± 0.0000
GAT,-1492.39 ± 5.85,762.63 ± 6.29,19.1773 ± 0.1597,4.6258 ± 0.1552,3.8230 ± 0.3444,0.5523 ± 0.0028,0.9330 ± 0.0000,1.0049 ± 0.0024,1.9221 ± 0.0000,21.45 ± 0.37,0.8085 ± 0.0153,1.0000 ± 0.0000
TAGConv,-1433.20 ± 26.26,758.43 ± 8.54,19.0663 ± 0.1976,4.5305 ± 0.2328,4.0963 ± 0.5376,0.5512 ± 0.0038,0.9330 ± 0.0000,1.0066 ± 0.0027,1.9221 ± 0.0000,18.77 ± 0.82,0.8255 ± 0.0170,1.0000 ± 0.0000
